trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Brittain, Antony","6","0","1","0","16.67","-6","15","0","2","0","13.33","-15","661","50","171","7.56","25.87","-259.52","19","20","277","20","66","7.22","23.83","-113","29","12","14","41.38","41.38","14.35","580","46","160","7.93","7.93","-227.02",
"Bromhead, Henry De","11","3","8","27.27","72.73","-3.26","17","3","9","17.65","52.94","-9.26","1536","205","537","13.35","34.96","-480.84","2","3","683","86","234","12.59","34.26","-199.33","287","94","182","32.75","32.75","-68.77","590","42","153","7.12","7.12","-221.71",
"Brooke, Daniel","0","0","0","0","0","0","1","0","0","0","0","-1","205","15","42","7.32","20.49","-94.33","64","8","100","10","24","10","24","-43.33","10","4","7","40","40","5.04","172","15","39","8.72","8.72","-61.33",
"Brown, A D","2","0","0","0","0","-2","6","1","2","16.67","33.33","-0.5","228","24","60","10.53","26.32","2.41","12","5","138","14","37","10.14","26.81","-37.34","19","7","12","36.84","36.84","2.75","161","15","40","9.32","9.32","-52.89",
"Burke, K R","10","0","4","0","40","-10","12","0","5","0","41.67","-12","1555","211","553","13.57","35.56","-274.23","27","23","790","115","288","14.56","36.46","-39.55","219","86","140","39.27","39.27","33.9","825","97","276","11.76","11.76","-168.18",
"Butler, John","8","1","3","12.5","37.5","-2.5","13","1","5","7.69","38.46","-7.5","887","95","239","10.71","26.94","-187.72","6","5","457","55","130","12.04","28.45","-100.08","93","29","65","31.18","31.18","-2.74","706","79","196","11.19","11.19","-145.73",
"Butler, P","0","0","0","0","0","0","0","0","0","0","0","0","84","1","4","1.19","4.76","17","120","10","30","1","3","3.33","10","71","0","0","0","0","0","0","65","1","4","1.54","1.54","36",
"Byrnes, C","1","1","1","100","100","2.5","3","1","1","33.33","33.33","0.5","359","49","119","13.65","33.15","-91.71","2","1","201","29","72","14.43","35.82","-25.22","65","25","42","38.46","38.46","19.21","172","27","57","15.7","15.7","-25.52",
"Candlish, Jennie","2","1","1","50","50","-0.5","8","2","2","25","25","-4.4","515","46","155","8.93","30.1","-196.6","2","1","232","17","61","7.33","26.29","-84.06","67","14","37","20.9","20.9","-27.39","438","39","136","8.9","8.9","-141.3",
"Carr, Mrs R A","2","2","2","100","100","33","8","2","2","25","25","27","704","50","154","7.1","21.88","-136.5","4","1","357","33","87","9.24","24.37","0.34","35","8","15","22.86","22.86","-5.33","655","46","143","7.02","7.02","-114.83",
"Carroll, A W","25","4","6","16","24","9.58","52","5","12","9.62","23.08","-14.42","1977","177","526","8.95","26.61","-438.59","1","1","1007","96","276","9.53","27.41","-161.55","139","38","82","27.34","27.34","-21.66","1644","156","467","9.49","9.49","-313.85",
"Carroll, D","0","0","0","0","0","0","0","0","0","0","0","0","402","40","97","9.95","24.13","-54.79","75","5","215","26","56","12.09","26.05","18.54","34","10","16","29.41","29.41","-1","315","32","82","10.16","10.16","-50.84",
"Charalambous, P / Clutterbuck, J","2","0","2","0","100","-2","4","0","2","0","50","-4","127","10","24","7.87","18.9","-60.67","62","12","85","9","19","10.59","22.35","-22.42","14","3","8","21.43","21.43","-4.17","88","9","23","10.23","10.23","-27.17",
"Collins, C M","0","0","0","0","0","0","5","0","0","0","0","-5","82","5","17","6.1","20.73","-46.49","20","8","82","5","17","6.1","20.73","-46.49","1","1","1","100","100","0.18","33","4","10","12.12","12.12","1.33",
"Coltherd, W S","3","0","1","0","33.33","-3","6","0","2","0","33.33","-6","288","42","96","14.58","33.33","-14.78","19","8","139","19","43","13.67","30.94","15.92","51","18","34","35.29","35.29","5.31","231","39","88","16.88","16.88","-33.53",
"Connell, B","1","1","1","100","100","3.5","3","1","1","33.33","33.33","1.5","139","28","51","20.14","36.69","-6.51","2","1","62","17","25","27.42","40.32","14.61","25","11","16","44","44","6.11","56","8","19","14.29","14.29","-8.62",
"Coyle, Tony","0","0","0","0","0","0","0","0","0","0","0","0","189","14","49","7.41","25.93","-37.62","40","3","92","7","25","7.61","27.17","-13.25","22","5","15","22.73","22.73","-6.12","137","13","40","9.49","9.49","12.13",
"Crook, A","1","0","0","0","0","-1","3","0","0","0","0","-3","140","4","22","2.86","15.71","-112.37","117","24","62","2","9","3.23","14.52","-54.62","4","2","3","50","50","2.13","117","4","20","3.42","3.42","-89.37",
"Cullen, J J","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","7.69","-13","3129","22","11","0","1","0","9.09","-11","0","0","0","0","0","0","6","0","0","0","0","-6",
"Dalgleish, Keith","6","0","1","0","16.67","-6","11","0","4","0","36.36","-11","1326","149","400","11.24","30.17","-199.23","60","31","598","49","160","8.19","26.76","-200.9","162","43","99","26.54","26.54","-37.36","1114","124","338","11.13","11.13","-286.84",
"Davis, D J S Ffrench","1","0","0","0","0","-1","6","1","2","16.67","33.33","-1","196","13","50","6.63","25.51","-101.67","11","4","103","10","25","9.71","24.27","-28.17","8","1","6","12.5","12.5","-4.5","139","12","46","8.63","8.63","-59.67",
"Derham, Harry","2","1","1","50","50","2.5","5","2","3","40","60","2.5","32","8","14","25","43.75","34.2","2","1","32","8","14","25","43.75","34.2","6","2","3","33.33","33.33","-1.8","15","5","7","33.33","33.33","19",
