Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Planas, Connor","20","5","10","25","50","5.25","61","13","28","21.31","45.9","-4.1","1","3","61","13","28","21.31","45.9","-4.1","9","3","7","33.33","33.33","-1.68","55","11","24","20","20","-4.6",
"Probert, David","61","8","20","13.11","32.79","-13.1","2488","332","793","13.34","31.87","-254.01","3","15","1250","178","407","14.24","32.56","-256.81","339","114","201","33.63","33.63","-14.49","1666","218","501","13.09","13.09","-307.42",
"Queally, Miss O M","1","0","0","0","0","-1","3","0","0","0","0","-3","9999","9999","3","0","0","0","0","-3","0","0","0","0","0","0","1","0","0","0","0","-1",
"Quirke, Mr C M","6","0","0","0","0","-6","143","7","19","4.9","13.29","-42.29","25","9","106","5","13","4.72","12.26","-18.62","5","2","2","40","40","-0.62","61","3","7","4.92","4.92","22",
"Robinson, Ben","16","4","6","25","37.5","18.33","796","61","209","7.66","26.26","-115.61","5","3","351","28","100","7.98","28.49","-59.21","63","20","43","31.75","31.75","-1.69","589","49","166","8.32","8.32","-36.94",
"Roche, L F","10","0","1","0","10","-10","749","48","159","6.41","21.23","-274.88","19","15","344","25","78","7.27","22.67","-131.88","38","11","23","28.95","28.95","4.87","391","25","91","6.39","6.39","-96.5",
"Roche, Ms J A","0","0","0","0","0","0","3","0","0","0","0","-3","9999","9999","2","0","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0",
"Rooke, George","14","1","4","7.14","28.57","-10.5","931","73","223","7.84","23.95","-359.05","4","4","485","47","128","9.69","26.39","-135.83","65","24","43","36.92","36.92","12.45","744","63","191","8.47","8.47","-291.68",
"Russell, Harry","14","4","7","28.57","50","13","541","60","174","11.09","32.16","62.41","5","2","228","24","69","10.53","30.26","131.63","48","16","28","33.33","33.33","14.2","462","52","155","11.26","11.26","-102.25",
"Ryan, Gavin","19","0","4","0","21.05","-19","951","76","249","7.99","26.18","-312.94","16","21","411","33","96","8.03","23.36","-113.79","95","23","56","24.21","24.21","-27.1","497","35","117","7.04","7.04","-112.17",
