horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Look Back Smiling (IRE)","13:40:00","2022-09-25","Epsom","Flat (Turf)","Handicap Nursery","7f ","7","Good","8","Class 4","17","8","Probert, David","4.5","Dunlop, E A L","132","77","7","8.4",
"Look Back Smiling (IRE)","15:35:00","2022-09-08","Chepstow","Flat (Turf)","Novices","7f ","7","Soft","8","Class 5","36","3","Bishop, Charles","2.25","Dunlop, E A L","137","0","8","4.25",
"Look Back Smiling (IRE)","14:50:00","2022-08-03","Pontefract","Flat (Turf)","Maiden","6f ","6","Good To Firm","11","Class 4","No Prev","1","Doyle, Hollie","10","Dunlop, E A L","133","0","4",,
"Night Life","13:15:00","2022-08-28","Goodwood","Flat (Turf)","Maiden","1m ","8","Good To Soft","9","Class 4","16","2","Dobbs, Pat","8.5","Hannon (Jnr), Richard","126","0","4","0.1",
"Night Life","18:15:00","2022-08-12","Newmarket (July)","Flat (Turf)","Maiden","1m ","8","Good To Firm","9","Class 4","8","5","ONeill, Dane","18","Hannon (Jnr), Richard","128","0","8","5.05",
"Night Life","18:36:00","2022-08-04","Sandown","Flat (Turf)","Maiden","1m ","8","Good To Firm","9","Class 4","No Prev","4","Dobbs, Pat","25","Hannon (Jnr), Richard","128","0","4","12.3",
"Sol Cayo (IRE)","18:15:00","2022-10-20","Wolverhampton","All Weather","Handicap Nursery","1m½f ","8.5","Standard","10","Class 4","128","2","McDonald, P J","12","Horton, James","134","79","1","0.1",
"Sol Cayo (IRE)","17:10:00","2022-06-14","Beverley","Flat (Turf)","Novices","7½f ","7.5","Good To Firm","10","Class 4","19","2","McDonald, P J","2.5","Horton, James","130","0","5","5",
"Sol Cayo (IRE)","17:15:00","2022-05-26","Carlisle","Flat (Turf)","Novices","6f ","6","Good","10","Class 5","23","3","McDonald, P J","3.33","Horton, James","133","0","4","0.55",
"Sol Cayo (IRE)","17:05:00","2022-05-03","Wetherby","Flat (Turf)","Maiden","5½f ","5.5","Good To Firm","7","Class 4","16","3","McDonald, P J","33","Horton, James","133","0","3","6",
"Sol Cayo (IRE)","17:30:00","2022-04-17","Southwell","All Weather","Novices","5f ","5","Standard To Slow","8","Class 5","No Prev","7","McDonald, P J","8","Horton, James","128","0","7","8.78",
"Tabaretta (FR)","18:15:00","2022-10-20","Wolverhampton","All Weather","Handicap Nursery","1m½f ","8.5","Standard","10","Class 4","38","1","Farragher, Adam J","1.75","Appleby, Charlie","130","80","5",,
"Tabaretta (FR)","14:50:00","2022-09-12","Thirsk","Flat (Turf)","Novices","7f ","7","Soft","11","Class 4","11","4","Mitchell, Jack","1.5","Appleby, Charlie","133","0","6","5.1",
"Tabaretta (FR)","14:20:00","2022-09-01","Salisbury","Flat (Turf)","Novices","1m ","8","Good To Firm","9","Class 4","11","2","Probert, David","4","Appleby, Charlie","133","0","8","3.25",
"Tabaretta (FR)","16:42:00","2022-08-21","Sandown","Flat (Turf)","Maiden","7f ","7","Good","12","Class 4","No Prev","9","Buick, William","2","Appleby, Charlie","133","0","10","5.05",
"Borak (IRE)","16:15:00","2022-11-08","Hereford","National Hunt","Handicap Hurdle","2m½f ","16.5","Good To Soft","13","Class 5","80","11","Bowen, James C","33","Faulkner, Ms D C","165","102","0","54.55",
"Borak (IRE)","16:35:00","2022-08-20","Newton Abbot","National Hunt","Handicap Hurdle","2m1f ","17","Good","8","Class 5","43","4","Armson, Philip","28","Faulkner, Ms D C","162","104","0","9.5",
"Borak (IRE)","18:15:00","2022-07-08","Chepstow","Flat (Turf)","Handicap","1m4f ","12","Good","8","Class 5","167","8","Hogan, D E","66","Faulkner, Ms D C","129","57","1","26.4",
"Borak (IRE)","13:33:00","2022-01-22","Taunton","National Hunt","Handicap Hurdle","2m1f ","17","Good To Soft","12","Class 4","61","PU","Quinn, Caoilin","100","Faulkner, Ms D C","151","107","0",,
"Borak (IRE)","15:35:00","2021-11-22","Ludlow","National Hunt","Handicap Hurdle","2m ","16","Good","9","Class 4","12","8","Quinn, Caoilin","40","Faulkner, Ms D C","161","108","0","24.15",
"Breccia","17:00:00","2022-10-12","Wolverhampton","All Weather","Handicap","2m½f ","16.5","Standard","11","Class 5","17","8","Coakley, Ross","6.5","Stephens, Robert","137","65","5","8.65",
"Breccia","16:23:00","2022-09-25","Ffos Las","Flat (Turf)","Handicap","2m ","16","Good","10","Class 5","23","4","Marsh, Finley","28","Stephens, Robert","135","66","5","16",
