Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Heskin, A P","12","3","6","25","50","2.73","371","57","130","15.36","35.04","-96.62","1","1","166","25","58","15.06","34.94","-36.06","60","28","41","46.67","46.67","3.13","218","21","56","9.63","9.63","-103.36",
"Hogan, Mr J","13","1","2","7.69","15.38","-9.75","208","23","56","11.06","26.92","-83.14","7","6","157","22","50","14.01","31.85","-73.14","35","16","22","45.71","45.71","8.53","155","14","37","9.03","9.03","-49.79",
"Houlihan, Sean M","7","0","0","0","0","-7","475","31","109","6.53","22.95","-262.99","93","61","220","16","46","7.27","20.91","-107.25","31","9","18","29.03","29.03","-3.74","291","24","86","8.25","8.25","-150.24",
"Hughes, Brian","46","8","16","17.39","34.78","6.38","1917","380","788","19.82","41.11","-303.02","1","5","916","190","381","20.74","41.59","-95.83","487","184","294","37.78","37.78","-38.69","1259","213","450","16.92","16.92","-227.28",
"Jacob, Daryl","16","2","5","12.5","31.25","-9.28","556","82","190","14.75","34.17","-152.36","1","1","258","43","104","16.67","40.31","-38.38","95","39","57","41.05","41.05","-6.6","290","34","87","11.72","11.72","-94.52",
"Johns, Alan","16","1","3","6.25","18.75","-10","415","36","108","8.67","26.02","-166.67","13","13","183","22","56","12.02","30.6","-23.05","27","8","16","29.63","29.63","0.29","294","31","86","10.54","10.54","-91.55",
"Johnston, Dylan","12","1","2","8.33","16.67","-2","100","6","27","6","27","-39.5","4","5","71","5","23","7.04","32.39","-29.5","8","0","4","0","0","-8","82","6","25","7.32","7.32","-21.5",
"Jones, Ben R","13","1","4","7.69","30.77","-9.5","511","61","159","11.94","31.12","-145.19","13","13","194","27","60","13.92","30.93","-40.54","59","22","37","37.29","37.29","9.4","353","52","120","14.73","14.73","-49.83",
"Kelly, Aidan","10","1","3","10","30","-4","220","11","42","5","19.09","-111.59","5","3","136","8","26","5.88","19.12","-69.59","9","1","3","11.11","11.11","-7.09","117","7","29","5.98","5.98","-53.59",
"Kennedy, W T","8","0","2","0","25","-8","281","12","50","4.27","17.79","-63.24","40","17","95","5","18","5.26","18.95","21.63","11","5","8","45.45","45.45","8.01","190","9","32","4.74","4.74","-107.24",
"Lynn, Bruce","11","0","4","0","36.36","-11","211","19","65","9","30.81","-79.79","67","49","134","14","46","10.45","34.33","-37.12","14","5","9","35.71","35.71","0.88","150","17","53","11.33","11.33","-26.17",
"Mania, Ryan","7","0","0","0","0","-7","588","79","181","13.44","30.78","14.88","21","8","236","36","76","15.25","32.2","71.6","89","26","48","29.21","29.21","-6.92","400","61","136","15.25","15.25","56.61",
"Maxwell, Dillon","3","1","1","33.33","33.33","4","109","8","17","7.34","15.6","-13","12","2","50","4","10","8","20","8.5","2","0","1","0","0","-2","56","8","13","14.29","14.29","40",
"McCain, Abbie","2","0","1","0","50","-2","65","5","19","7.69","29.23","-44.02","166","12","27","2","9","7.41","33.33","-17.67","6","2","2","33.33","33.33","-1.35","54","3","15","5.56","5.56","-41.42",
"McGarvey, J S","9","0","0","0","0","-9","436","20","54","4.59","12.39","-262.14","175","34","87","3","7","3.45","8.05","-73.5","17","6","8","35.29","35.29","6.11","224","9","30","4.02","4.02","-152.5",
"McGill, Mr O","0","0","0","0","0","0","49","5","14","10.2","28.57","26.25","84","7","33","4","11","12.12","33.33","39","2","1","1","50","50","1.25","26","5","12","19.23","19.23","49.25",
"McGivern, Mr C","6","1","2","16.67","33.33","2","110","8","23","7.27","20.91","-58.54","8","4","88","5","13","5.68","14.77","-50.67","7","3","5","42.86","42.86","1.63","58","5","15","8.62","8.62","-30.75",
"McKenna, Liam","5","1","1","20","20","46","200","7","36","3.5","18","-88.26","11","3","110","7","24","6.36","21.82","1.74","7","1","5","14.29","14.29","-5.09","95","5","24","5.26","5.26","6.33",
"McMenamin, Daniel","26","2","6","7.69","23.08","-10.25","604","71","176","11.75","29.14","-110","8","20","278","30","75","10.79","26.98","-93.43","54","21","36","38.89","38.89","8.58","444","61","140","13.74","13.74","15.48",
"McNamara, Conor","4","0","0","0","0","-4","384","35","73","9.11","19.01","116.71","38","16","181","18","43","9.94","23.76","27.38","20","6","11","30","30","-0.25","232","21","49","9.05","9.05","17.88",
"Midgley, Tom","12","1","2","8.33","16.67","-7","314","34","82","10.83","26.11","-82.19","11","11","192","16","42","8.33","21.88","-90.55","29","12","21","41.38","41.38","4.31","214","28","66","13.08","13.08","-25.11",
"Morgan, Luca","12","0","2","0","16.67","-12","337","59","131","17.51","38.87","6.69","29","21","189","38","74","20.11","39.15","4.7","61","20","31","32.79","32.79","-0.98","278","53","114","19.06","19.06","36.95",
"Moscrop, Nathan","11","1","4","9.09","36.36","-6.67","454","47","127","10.35","27.97","-116.36","7","4","218","27","65","12.39","29.82","-0.82","44","15","28","34.09","34.09","7.37","296","34","88","11.49","11.49","-47.45",
