Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Smithers, C D","1","0","0","0","0","-1","1","0","0","0","0","-1","166","5","26","3.01","15.66","-131.33","72","9","88","2","15","2.27","17.05","-71.5","8","1","6","12.5","12.5","-6.33","79","1","7","1.27","1.27","-66",
"Smithers, P T","2","0","1","0","50","-2","2","0","1","0","50","-2","139","9","28","6.47","20.14","-48.84","54","16","79","8","23","10.13","29.11","-11.84","10","2","7","20","20","-2","77","5","18","6.49","6.49","-26.5",
"Sousa, Silvestre De","20","0","5","0","25","-20","42","4","15","9.52","35.71","-30.79","465","62","173","13.33","37.2","-15.15","8","21","465","62","173","13.33","37.2","-15.15","82","26","53","31.71","31.71","-11.14","325","38","113","11.69","11.69","-38.46",
"Stone-Walsh, C","11","2","5","18.18","45.45","-3.12","16","2","8","12.5","50","-8.12","457","38","122","8.32","26.7","-166.63","2","2","313","19","72","6.07","23","-144.62","51","11","30","21.57","21.57","-12.84","342","28","88","8.19","8.19","-106.05",
"Sullivan, James P","12","0","1","0","8.33","-12","24","1","2","4.17","8.33","-21","894","72","224","8.05","25.06","-300.92","14","24","475","35","103","7.37","21.68","-207.92","52","14","25","26.92","26.92","-3.25","756","62","193","8.2","8.2","-264.04",
"Swift, Mr Dale","2","1","1","50","50","5","6","2","3","33.33","50","8","466","42","110","9.01","23.61","-83.18","1","2","207","18","46","8.7","22.22","-43.79","26","9","13","34.62","34.62","2.69","383","38","94","9.92","9.92","-21.81",
"Tabti, M","2","0","1","0","50","-2","2","0","1","0","50","-2","153","14","53","9.15","34.64","-39.67","18","9","62","6","20","9.68","32.26","-14","19","7","11","36.84","36.84","2.5","129","11","45","8.53","8.53","-38.42",
"Todd, C J","0","0","0","0","0","0","0","0","0","0","0","0","350","20","66","5.71","18.86","-210.4","32","1","146","10","28","6.85","19.18","-84.67","23","7","15","30.43","30.43","0.77","222","17","49","7.66","7.66","-91.01",
"Torrens, Simon","8","0","0","0","0","-8","14","0","2","0","14.29","-14","721","43","156","5.96","21.64","-377.32","23","20","330","21","74","6.36","22.42","-154","38","14","27","36.84","36.84","9.18","414","24","95","5.8","5.8","-201.62",
"Townend, Miss J","1","0","0","0","0","-1","3","0","0","0","0","-3","144","28","56","19.44","38.89","-34.86","107","22","73","13","27","17.81","36.99","-22.73","42","17","24","40.48","40.48","-2.19","34","3","8","8.82","8.82","-8.75",
"Townend, P","11","6","9","54.55","81.82","22.4","18","8","13","44.44","72.22","20.66","674","252","418","37.39","62.02","-46.26","4","3","375","135","226","36","60.27","-2.52","397","201","295","50.63","50.63","-28.53","106","15","41","14.15","14.15","3.39",
"Treacy, R P","1","0","0","0","0","-1","1","0","0","0","0","-1","80","0","7","0","8.75","-80","848","93","80","0","7","0","8.75","-80","0","0","0","0","0","0","32","0","3","0","0","-32",
"Turner, James","3","0","1","0","33.33","-3","4","0","1","0","25","-4","169","14","41","8.28","24.26","-2.92","70","18","124","13","37","10.48","29.84","-58.92","11","4","8","36.36","36.36","3.75","130","12","34","9.23","9.23","24.75",
"Twiston-Davies, Sam","6","2","3","33.33","50","4.17","8","2","4","25","50","2.17","1267","182","460","14.36","36.31","-196.38","1","2","621","95","242","15.3","38.97","-106.11","231","73","134","31.6","31.6","-36.46","796","114","276","14.32","14.32","3.14",
"Walsh, M P","4","1","1","25","25","-0.25","4","1","1","25","25","-0.25","516","97","191","18.8","37.02","-101.87","2","2","318","55","116","17.3","36.48","-94.79","141","51","86","36.17","36.17","-19.74","244","29","70","11.89","11.89","-95.97",
"Watson, Jason","15","1","3","6.67","20","-10","27","3","8","11.11","29.63","-16.89","957","91","269","9.51","28.11","-303","5","10","344","41","107","11.92","31.1","-69.56","102","31","65","30.39","30.39","-8.28","703","67","199","9.53","9.53","-166.92",
"Waugh, Amie","15","1","3","6.67","20","-11.75","16","1","3","6.25","18.75","-12.75","314","16","58","5.1","18.47","-112.67","7","14","170","12","38","7.06","22.35","-46.92","16","5","7","31.25","31.25","4.5","272","16","58","5.88","5.88","-70.67",
"Wheatley, Zak","3","0","1","0","33.33","-3","12","1","3","8.33","25","-6","361","29","81","8.03","22.44","-130.17","14","12","187","14","41","7.49","21.93","-80","26","4","8","15.38","15.38","-9.92","297","27","72","9.09","9.09","-73.67",
"Williams, Isabel","3","1","1","33.33","33.33","8","3","1","1","33.33","33.33","8","205","20","60","9.76","29.27","-69.54","6","3","117","10","39","8.55","33.33","-49.25","24","5","14","20.83","20.83","-6.87","155","14","44","9.03","9.03","-52.12",
"Winn, Mark","13","4","6","30.77","46.15","49.08","25","4","8","16","32","37.08","696","81","219","11.64","31.47","-101.52","1","3","373","38","107","10.19","28.69","-48.68","90","31","56","34.44","34.44","9.4","626","76","201","12.14","12.14","-104.65",
"Wood, George","4","0","1","0","25","-4","13","0","5","0","38.46","-13","422","30","100","7.11","23.7","-128.46","29","22","229","14","57","6.11","24.89","-91.3","29","8","15","27.59","27.59","-0.46","279","24","74","8.6","8.6","-27.71",
"Woods, K K","7","0","1","0","14.29","-7","8","0","1","0","12.5","-8","588","81","220","13.78","37.41","-82.45","33","10","329","45","117","13.68","35.56","-16.66","88","30","55","34.09","34.09","-7.44","352","54","134","15.34","15.34","28.05",
"Worsley, Tabitha","3","0","0","0","0","-3","6","0","0","0","0","-6","454","16","65","3.52","14.32","-161.52","41","13","222","8","28","3.6","12.61","-10.62","7","3","4","42.86","42.86","1.98","349","13","55","3.72","3.72","-226.62",
"Wynne, Toby","2","0","0","0","0","-2","3","0","0","0","0","-3","350","48","105","13.71","30","-58.76","71","14","198","25","55","12.63","27.78","-10.99","54","17","32","31.48","31.48","-6.6","292","45","96","15.41","15.41","-21.51",
"Young, Archie","3","0","1","0","33.33","-3","6","0","4","0","66.67","-6","175","20","49","11.43","28","-39.86","46","18","137","16","39","11.68","28.47","-28.69","20","5","11","25","25","-5.86","164","20","47","12.2","12.2","-28.86",
 
