Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Levey, S M","4","1","3","25","75","0.5","10","1","4","10","40","-5.5","18","3","10","16.67","55.56","-7.37","29","4","14","13.79","48.28","-12.37","945","98","303","10.37","32.06","-156.88","1","2","437","41","133","9.38","30.43","-76.76","85","21","48","24.71","24.71","-22.33","513","50","175","9.75","9.75","-116.51",
"Lordan, W M","0","0","0","0","0","0","1","0","0","0","0","-1","11","1","4","9.09","36.36","-8.62","25","1","8","4","32","-22.62","598","65","185","10.87","30.94","-216.96","4","2","256","33","80","12.89","31.25","-113.26","80","29","57","36.25","36.25","-4.75","249","17","63","6.83","6.83","-107.99",
"Loughnane, Mr Billy","5","1","2","20","40","-1.75","17","2","9","11.76","52.94","-7.75","31","2","12","6.45","38.71","-21.75","65","5","21","7.69","32.31","-29.25","1796","251","616","13.98","34.3","-218.65","1","1","1185","157","403","13.25","34.01","-100.53","297","95","168","31.99","31.99","-22.85","1364","190","469","13.93","13.93","-164.49",
"MacRedmond, Cian","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","33.33","-3","8","0","1","0","12.5","-8","511","23","86","4.5","16.83","-311.27","24","17","240","11","36","4.58","15","-137.5","25","5","14","20","20","-10.52","422","17","73","4.03","4.03","-251.25",
"Mangan, Gina","0","0","0","0","0","0","6","0","0","0","0","-6","11","0","1","0","9.09","-11","19","2","3","10.53","15.79","5","544","56","142","10.29","26.1","-95.77","10","13","320","36","91","11.25","28.44","-46.61","50","16","32","32","32","4.73","422","48","123","11.37","11.37","-34.77",
"Marquand, Tom","7","3","3","42.86","42.86","26","13","5","7","38.46","53.85","27.5","29","7","11","24.14","37.93","23.25","48","12","22","25","45.83","26.75","1604","244","567","15.21","35.35","-162.38","1","3","801","122","291","15.23","36.33","-62.26","296","102","173","34.46","34.46","-25.11","941","129","314","13.71","13.71","-110.23",
"Marsh, Finley","0","0","0","0","0","0","3","0","1","0","33.33","-3","14","1","6","7.14","42.86","-9.67","30","2","11","6.67","36.67","-21.17","770","97","240","12.6","31.17","24.34","6","14","514","67","166","13.04","32.3","36.59","89","28","54","31.46","31.46","-6.31","573","78","192","13.61","13.61","-53.92",
"Marshall, Tom Kiely","0","0","0","0","0","0","1","0","1","0","100","-1","5","1","3","20","60","-1","10","1","5","10","50","-6","161","8","34","4.97","21.12","-10.17","7","5","93","6","24","6.45","25.81","-40.17","5","1","3","20","20","-1","151","8","32","5.3","5.3","-0.17",
"Martin, James","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","73","8","18","10.96","24.66","-20.12","43","5","46","5","10","10.87","21.74","-9","8","2","5","25","25","-1.12","47","8","17","17.02","17.02","5.88",
"Mason, Joanna","1","0","0","0","0","-1","6","0","1","0","16.67","-6","13","1","4","7.69","30.77","-3","36","3","10","8.33","27.78","-9","978","109","306","11.15","31.29","-149.62","4","9","599","74","197","12.35","32.89","-16.86","104","22","54","21.15","21.15","-33.53","825","95","272","11.52","11.52","-118.94",
