Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Cleary, Jack","6","0","0","0","0","-6","17","3","5","17.65","29.41","26.75","276","16","57","5.8","20.65","-118.29","8","8","163","11","38","6.75","23.31","-38.87","16","5","9","31.25","31.25","2.46","176","10","32","5.68","5.68","-64.42",
"Cleary, R P","7","1","1","14.29","14.29","-2.67","19","1","4","5.26","21.05","-14.67","811","39","149","4.81","18.37","-330.63","6","6","364","20","68","5.49","18.68","-112.38","40","9","21","22.5","22.5","-9.59","417","22","80","5.28","5.28","-63.75",
"Clutterbuck, Rhys","19","1","2","5.26","10.53","-2","30","1","5","3.33","16.67","-13","740","66","175","8.92","23.65","-226.14","1","1","406","38","95","9.36","23.4","-134.17","57","18","36","31.58","31.58","-6.14","516","54","138","10.47","10.47","-87.62",
"Coen, Ben M","15","1","6","6.67","40","-2","34","2","8","5.88","23.53","-13","1177","108","303","9.18","25.74","-448.33","6","12","596","50","161","8.39","27.01","-195.32","107","31","65","28.97","28.97","-8.24","597","53","146","8.88","8.88","-272.3",
"Cole, Morgan","3","0","0","0","0","-3","7","0","0","0","0","-7","295","23","74","7.8","25.08","-177.66","20","13","195","15","50","7.69","25.64","-114.54","21","6","8","28.57","28.57","-4.24","245","22","70","8.98","8.98","-132.16",
"Colgan, R C","6","0","1","0","16.67","-6","17","0","1","0","5.88","-17","669","33","105","4.93","15.7","-87.71","79","90","309","14","49","4.53","15.86","104.75","19","6","9","31.58","31.58","-0.04","353","16","63","4.53","4.53","-133",
"Cosgrave, Pat","11","0","1","0","9.09","-11","16","0","2","0","12.5","-16","429","52","130","12.12","30.3","-121.19","16","20","197","24","53","12.18","26.9","-30.97","54","26","38","48.15","48.15","18.9","314","38","100","12.1","12.1","-94.93",
"Coughlan, Laura","2","0","0","0","0","-2","4","0","0","0","0","-4","213","17","46","7.98","21.6","-21.17","37","13","101","6","16","5.94","15.84","-26.5","15","4","8","26.67","26.67","-3.67","175","14","37","8","8","-14.17",
"Cox, William","5","0","0","0","0","-5","7","0","0","0","0","-7","420","13","52","3.1","12.38","-199.5","53","41","246","8","31","3.25","12.6","-58.5","7","0","2","0","0","-7","282","9","40","3.19","3.19","-99.5",
"Crouch, Hector","18","4","9","22.22","50","0.38","39","7","17","17.95","43.59","11.13","969","150","335","15.48","34.57","-110.04","4","7","506","75","182","14.82","35.97","-90.73","176","56","103","31.82","31.82","-19.95","546","86","190","15.75","15.75","-12.62",
"Crowley, Jim","8","0","1","0","12.5","-8","24","0","4","0","16.67","-24","756","128","262","16.93","34.66","-72.09","16","30","398","53","122","13.32","30.65","-111.77","159","62","101","38.99","38.99","-0.91","395","51","128","12.91","12.91","-49.28",
"Currie, Nicola","6","0","0","0","0","-6","11","1","1","9.09","9.09","-1","281","14","40","4.98","14.23","-71.59","13","11","100","6","14","6","14","58","4","2","3","50","50","2.25","197","12","33","6.09","6.09","-2.59",
"Dace, Jack","3","0","0","0","0","-3","7","0","1","0","14.29","-7","14","1","2","7.14","14.29","-7.5","28","12","14","1","2","7.14","14.29","-7.5","1","0","0","0","0","-1","14","1","2","7.14","7.14","-7.5",
"Davies, Harry","1","1","1","100","100","1.88","16","1","2","6.25","12.5","-13.12","914","100","290","10.94","31.73","-201.04","7","1","549","58","175","10.56","31.88","-108.11","109","33","65","30.28","30.28","-11","611","56","178","9.17","9.17","-209.66",
"Dawson, R","10","2","3","20","30","0.5","22","3","6","13.64","27.27","-7.17","553","58","165","10.49","29.84","-98.06","7","8","182","14","48","7.69","26.37","-94.44","80","18","45","22.5","22.5","-27.81","364","39","110","10.71","10.71","-100.85",
"Dobbs, Pat","6","0","1","0","16.67","-6","13","0","4","0","30.77","-13","390","43","129","11.03","33.08","-112.48","42","35","173","21","59","12.14","34.1","-19.55","42","16","27","38.1","38.1","1.67","184","19","65","10.33","10.33","-40.92",
"Dobie, Georgia","6","1","3","16.67","50","-1","11","1","3","9.09","27.27","-6","443","23","81","5.19","18.28","-229.75","5","4","247","15","44","6.07","17.81","-109.5","18","3","8","16.67","16.67","-8.75","341","18","68","5.28","5.28","-171.25",
"Doyle, Hollie","16","2","6","12.5","37.5","-11.57","38","8","18","21.05","47.37","-8.86","1751","236","562","13.48","32.1","-454.06","3","3","985","125","330","12.69","33.5","-332.06","285","93","164","32.63","32.63","-33.29","1207","157","366","13.01","13.01","-304.47",
"Edmunds, Lewis","10","1","5","10","50","-4.5","17","1","7","5.88","41.18","-11.5","929","104","277","11.19","29.82","-163.68","3","3","511","61","172","11.94","33.66","-142.83","105","35","64","33.33","33.33","8.99","718","94","237","13.09","13.09","-16.92",
"Egan, David","22","4","10","18.18","45.45","0","43","6","15","13.95","34.88","-11","1561","186","498","11.92","31.9","-342.23","1","4","756","96","241","12.7","31.88","-72.16","165","55","104","33.33","33.33","-5.72","930","105","274","11.29","11.29","-127.97",
"Egan, John","4","0","0","0","0","-4","11","0","0","0","0","-11","410","29","91","7.07","22.2","-225.65","26","19","179","9","38","5.03","21.23","-102.67","28","9","19","32.14","32.14","-0.65","301","25","78","8.31","8.31","-131.98",
"Farragher, Adam J","9","1","2","11.11","22.22","-3","27","3","5","11.11","18.52","-16","840","89","209","10.6","24.88","-223.22","6","8","483","45","111","9.32","22.98","-122.4","85","33","57","38.82","38.82","11.2","585","68","156","11.62","11.62","-128.67",
"Fisher, Taylor","7","1","4","14.29","57.14","1","10","2","5","20","50","9","507","62","164","12.23","32.35","-150.9","2","1","172","18","52","10.47","30.23","-70.13","59","22","36","37.29","37.29","10.86","427","49","139","11.48","11.48","-159.62",
"Foley, Shane","19","0","6","0","31.58","-19","48","2","14","4.17","29.17","-40.17","1245","136","386","10.92","31","-213.14","13","45","670","77","203","11.49","30.3","-95.39","158","31","87","19.62","19.62","-70.71","590","55","174","9.32","9.32","-139.27",
"Fraser, Kaiya","9","0","0","0","0","-9","18","2","5","11.11","27.78","-0.5","262","33","91","12.6","34.73","-59.53","11","13","132","12","42","9.09","31.82","-61.92","45","12","24","26.67","26.67","-10.61","229","31","83","13.54","13.54","-49.53",
"Geerdharry, C","0","0","0","0","0","0","2","0","0","0","0","-2","101","3","18","2.97","17.82","-57","513","63","33","0","3","0","9.09","-33","4","0","1","0","0","-4","88","3","15","3.41","3.41","-44",
"Ghiani, Marco","9","1","2","11.11","22.22","-3","20","3","6","15","30","-2.17","767","96","250","12.52","32.59","-84.65","4","7","533","66","169","12.38","31.71","-197.87","119","41","72","34.45","34.45","1.62","531","74","184","13.94","13.94","-104.28",
"Gordon, Josephine","7","0","0","0","0","-7","15","0","1","0","6.67","-15","524","39","117","7.44","22.33","-166.63","53","20","276","21","60","7.61","21.74","-65.26","30","8","16","26.67","26.67","4.29","431","35","103","8.12","8.12","-96.88",
"Gunn, Molly","2","1","1","50","50","-0.27","5","2","2","40","40","0.23","162","13","30","8.02","18.52","-0.02","3","1","110","10","22","9.09","20","5.98","4","1","1","25","25","-2.27","126","8","22","6.35","6.35","-4.27",
"Hassett, M W","12","1","2","8.33","16.67","-7","32","4","8","12.5","25","2.5","407","44","124","10.81","30.47","-53.04","6","10","319","39","102","12.23","31.97","-0.79","48","12","28","25","25","-1.87","339","41","108","12.09","12.09","-0.79",
"Hayes, C D","13","3","6","23.08","46.15","5.33","32","3","8","9.38","25","-13.67","1349","108","380","8.01","28.17","-689.68","2","4","640","51","171","7.97","26.72","-316.37","139","35","81","25.18","25.18","-46.79","729","49","188","6.72","6.72","-367.18",
"Heffernan, J A","8","0","1","0","12.5","-8","8","0","1","0","12.5","-8","1079","109","300","10.1","27.8","-210.5","17","17","494","44","130","8.91","26.32","-107.39","106","42","80","39.62","39.62","8.14","515","28","113","5.44","5.44","-197.16",
"Hogan, D E","11","0","1","0","9.09","-11","18","1","3","5.56","16.67","-3","815","80","241","9.82","29.57","-13.76","8","12","458","48","135","10.48","29.48","-32.81","64","19","38","29.69","29.69","-3.83","571","63","182","11.03","11.03","-3.7",
"Horgan, H J","3","1","2","33.33","66.67","0.25","7","1","4","14.29","57.14","-3.75","213","28","58","13.15","27.23","149.91","4","3","115","16","38","13.91","33.04","132.86","26","11","17","42.31","42.31","7.41","144","13","38","9.03","9.03","131",
"Hornby, Rob","14","2","4","14.29","28.57","3.5","32","2","6","6.25","18.75","-14.5","1301","123","343","9.45","26.36","-325.59","2","1","639","56","158","8.76","24.73","-220.29","132","30","76","22.73","22.73","-51.46","791","76","210","9.61","9.61","-145.31",
"Howarth, Christian","4","0","1","0","25","-4","10","1","4","10","40","-1.5","484","32","106","6.61","21.9","-97.84","9","6","273","13","48","4.76","17.58","-191.92","26","6","11","23.08","23.08","-8.17","396","26","91","6.57","6.57","-90.67",
"Hutchinson, Callum","7","0","1","0","14.29","-7","14","1","4","7.14","28.57","-11.8","532","50","130","9.4","24.44","-139.35","9","9","317","27","78","8.52","24.61","-89.97","33","9","17","27.27","27.27","-0.19","429","45","111","10.49","10.49","-99.68",
"Jary, Alex","5","1","3","20","60","-2.8","10","2","4","20","40","-2.3","355","26","81","7.32","22.82","-147.97","7","5","211","16","44","7.58","20.85","-75.55","20","4","10","20","20","-8.05","304","23","72","7.57","7.57","-112.5",
"Jones, Ethan","4","0","0","0","0","-4","10","0","1","0","10","-10","213","22","67","10.33","31.46","-91.85","15","11","195","21","61","10.77","31.28","-82.35","21","8","15","38.1","38.1","0.49","187","19","60","10.16","10.16","-77.05",
"Joyce, Wesley","14","0","2","0","14.29","-14","27","2","5","7.41","18.52","-2","382","33","91","8.64","23.82","-104.04","8","16","358","30","82","8.38","22.91","-104.04","28","9","17","32.14","32.14","3.46","289","30","78","10.38","10.38","-73.54",
"Keane, C T","6","0","2","0","33.33","-6","32","4","12","12.5","37.5","9.93","1615","226","577","13.99","35.73","-354.88","8","10","814","128","305","15.72","37.47","-134.58","330","98","188","29.7","29.7","-55.5","818","99","263","12.1","12.1","-146.98",
"Keeley, Aidan","12","4","5","33.33","41.67","22.73","18","5","6","27.78","33.33","24.23","650","71","190","10.92","29.23","-111.96","3","4","301","41","96","13.62","31.89","-59","45","19","30","42.22","42.22","5.88","547","61","168","11.15","11.15","-114.9",
"Keenan, Darragh","11","2","2","18.18","18.18","17.5","26","3","5","11.54","19.23","4.5","886","65","179","7.34","20.2","-226.86","2","2","413","33","94","7.99","22.76","-169.36","46","17","25","36.96","36.96","2.43","588","48","136","8.16","8.16","-100.45",
"Kelly, S B","0","0","0","0","0","0","0","0","0","0","0","0","197","10","32","5.08","16.24","-92.25","80","23","79","6","17","7.59","21.52","5","11","3","5","27.27","27.27","0.25","92","7","15","7.61","7.61","-54.75",
"Keniry, L P","6","0","0","0","0","-6","13","2","2","15.38","15.38","3.75","562","38","104","6.76","18.51","-134.66","9","7","337","22","61","6.53","18.1","-165.26","18","6","8","33.33","33.33","-5.24","384","27","81","7.03","7.03","-97.67",
"Kennedy, K G","7","1","1","14.29","14.29","2","16","2","4","12.5","25","-4","204","26","61","12.75","29.9","-0.86","2","4","204","26","61","12.75","29.9","-0.86","32","10","17","31.25","31.25","3.31","184","24","55","13.04","13.04","13.24",
"King, D","6","1","3","16.67","50","4","17","2","8","11.76","47.06","1","638","54","175","8.46","27.43","-171.23","1","1","321","21","89","6.54","27.73","-162.85","51","16","34","31.37","31.37","3.44","415","38","118","9.16","9.16","-65.76",
"Kingscote, Richard","17","1","6","5.88","35.29","-10.5","34","1","13","2.94","38.24","-27.5","1233","135","420","10.95","34.06","-454.96","2","4","609","60","200","9.85","32.84","-251.33","199","57","119","28.64","28.64","-49.49","740","80","243","10.81","10.81","-255.61",
"Kirrane, Sean","14","1","7","7.14","50","-10.5","26","2","10","7.69","38.46","-12.5","590","63","167","10.68","28.31","-28.76","2","3","309","31","85","10.03","27.51","-22.12","44","11","22","25","25","-5.01","489","59","152","12.07","12.07","33.04",
"Larson, Frederick","6","1","2","16.67","33.33","-2.75","13","1","3","7.69","23.08","-9.75","457","43","132","9.41","28.88","-168.54","3","1","169","13","48","7.69","28.4","-68.41","54","11","31","20.37","20.37","-28.33","374","35","109","9.36","9.36","-129.19",
"Leavy, Mr Joe","17","3","7","17.65","41.18","-9.04","35","6","14","17.14","40","-11.04","422","48","145","11.37","34.36","-16.25","2","4","340","43","121","12.65","35.59","-29.25","38","12","23","31.58","31.58","-0.41","362","38","126","10.5","10.5","-27.04",
"Lee, W J","18","3","7","16.67","38.89","-2.37","35","9","18","25.71","51.43","3.89","1304","175","463","13.42","35.51","-285.93","1","2","596","98","219","16.44","36.74","-9.75","251","81","156","32.27","32.27","-11.48","612","64","201","10.46","10.46","-193.04",
"Levey, S M","11","2","6","18.18","54.55","-2.37","27","2","10","7.41","37.04","-18.37","938","96","296","10.23","31.56","-157.88","2","3","436","41","131","9.4","30.05","-66.26","83","21","47","25.3","25.3","-20.33","505","48","169","9.5","9.5","-116.51",
"Lewis, Miss Zoe","2","0","0","0","0","-2","2","0","0","0","0","-2","15","0","4","0","26.67","-15","9999","9999","10","0","2","0","20","-10","2","0","1","0","0","-2","15","0","4","0","0","-15",
"Lewis, Owen","0","0","0","0","0","0","0","0","0","0","0","0","117","9","33","7.69","28.21","-49.12","108","10","47","2","12","4.26","25.53","-26","5","2","2","40","40","0.88","101","9","31","8.91","8.91","-33.12",
"Lordan, W M","10","0","3","0","30","-10","26","0","8","0","30.77","-26","605","66","185","10.91","30.58","-213.59","16","31","250","32","78","12.8","31.2","-109.64","80","30","57","37.5","37.5","-1.5","252","17","63","6.75","6.75","-110.99",
"Loughnane, Mr Billy","28","2","6","7.14","21.43","-6.5","60","10","19","16.67","31.67","41.5","1769","249","604","14.08","34.14","-200.9","4","10","1183","157","395","13.27","33.39","-99.53","287","94","162","32.75","32.75","-16.1","1344","188","461","13.99","13.99","-153.74",
"Mangan, Gina","7","2","2","28.57","28.57","17","19","3","4","15.79","21.05","9.5","537","58","144","10.8","26.82","-71.77","5","2","315","38","94","12.06","29.84","-34.11","50","16","32","32","32","4.73","417","50","125","11.99","11.99","-12.77",
"Marquand, Tom","21","4","11","19.05","52.38","-3","45","7","15","15.56","33.33","-7.5","1598","237","561","14.83","35.11","-208.63","3","8","805","121","293","15.03","36.4","-100.21","296","100","172","33.78","33.78","-31.86","937","125","313","13.34","13.34","-128.48",
"Marsh, Finley","16","2","7","12.5","43.75","-7.17","30","7","15","23.33","50","5.02","761","97","237","12.75","31.14","33.34","1","3","506","68","164","13.44","32.41","49.59","87","28","52","32.18","32.18","-4.31","565","78","190","13.81","13.81","-45.92",
"McAteer, L T","5","1","2","20","40","-1.75","10","1","4","10","40","-6.75","612","46","127","7.52","20.75","-226.57","4","3","303","23","63","7.59","20.79","-121.85","43","12","19","27.91","27.91","-4.4","333","29","63","8.71","8.71","-40.05",
"McCullagh, N G","7","1","3","14.29","42.86","8","10","1","3","10","30","5","345","12","50","3.48","14.49","-205.5","4","4","165","6","25","3.64","15.15","-93.5","7","0","2","0","0","-7","184","11","37","5.98","5.98","-50",
"McCullagh, Scott","4","0","1","0","25","-4","10","0","3","0","30","-10","306","21","85","6.86","27.78","-146.1","88","52","169","10","48","5.92","28.4","-89.59","16","1","7","6.25","6.25","-13.5","203","15","59","7.39","7.39","-104.09",
"McDonogh, D P","13","2","3","15.38","23.08","-5.56","21","3","7","14.29","33.33","-2.56","932","78","250","8.37","26.82","-378.66","1","4","439","37","109","8.43","24.83","-196.83","79","20","47","25.32","25.32","-25.24","435","29","102","6.67","6.67","-202.92",
"McGettigan, P","2","1","1","50","50","5","3","1","1","33.33","33.33","4","5","1","2","20","40","2","2","2","5","1","2","20","40","2","0","0","0","0","0","0","5","1","2","20","20","2",
"Mitchell, Jack","15","2","3","13.33","20","-5.64","26","3","6","11.54","23.08","-12.64","1229","187","480","15.22","39.06","-316.04","4","10","657","99","258","15.07","39.27","-160.81","288","90","175","31.25","31.25","-65.11","797","121","307","15.18","15.18","-110.23",
"Murphy, Oisin","35","11","20","31.43","57.14","9.34","76","18","40","23.68","52.63","5.22","1812","348","817","19.21","45.09","-204.55","2","3","1099","230","538","20.93","48.95","-66.56","527","176","337","33.4","33.4","-37.43","1100","187","443","17","17","-224.66",
"ONeill, K T","16","0","5","0","31.25","-16","32","2","12","6.25","37.5","-25.29","1524","137","399","8.99","26.18","-315.66","9","20","772","73","213","9.46","27.59","-238.88","117","37","72","31.62","31.62","-16.4","1119","92","283","8.22","8.22","-286.42",
"Osborne, Saffie","17","4","7","23.53","41.18","19.5","37","5","13","13.51","35.14","2.75","1229","163","392","13.26","31.9","-26.47","4","9","618","92","208","14.89","33.66","-11.51","132","49","80","37.12","37.12","18.99","871","125","295","14.35","14.35","132.95",
"OSullivan, Darragh","3","0","0","0","0","-3","8","1","1","12.5","12.5","5","38","2","6","5.26","15.79","-20.67","11","7","38","2","6","5.26","15.79","-20.67","1","0","1","0","0","-1","30","1","4","3.33","3.33","-17",
"Pinna, Mr Andrea","2","0","0","0","0","-2","2","0","0","0","0","-2","46","2","11","4.35","23.91","-32","102","18","45","2","11","4.44","24.44","-31","2","0","1","0","0","-2","39","2","10","5.13","5.13","-25",
"Planas, Connor","5","0","0","0","0","-5","13","0","2","0","15.38","-13","462","47","140","10.17","30.3","-140.43","53","36","192","9","50","4.69","26.04","-123.5","61","17","36","27.87","27.87","-6.01","381","40","120","10.5","10.5","-108.06",
"Power, D J","0","0","0","0","0","0","2","0","0","0","0","-2","16","1","1","6.25","6.25","-10","156","15","16","1","1","6.25","6.25","-10","0","0","0","0","0","0","11","1","1","9.09","9.09","-5",
"Probert, David","21","4","9","19.05","42.86","-1.02","45","7","15","15.56","33.33","-0.52","1918","224","569","11.68","29.67","-195.47","3","6","946","113","297","11.95","31.4","23.86","208","58","121","27.88","27.88","-60.33","1302","156","392","11.98","11.98","-21.78",
"Queally, T P","8","2","3","25","37.5","4.13","16","4","5","25","31.25","14.13","510","62","140","12.16","27.45","-66.84","1","1","236","27","54","11.44","22.88","-82.95","61","25","42","40.98","40.98","15.16","385","51","109","13.25","13.25","-55.46",
"Quinn, Jimmy","0","0","0","0","0","0","2","0","0","0","0","-2","139","1","22","0.72","15.83","-134.5","396","79","63","0","12","0","19.05","-63","2","0","2","0","0","-2","113","1","20","0.88","0.88","-108.5",
"Roche, L F","5","0","0","0","0","-5","12","1","2","8.33","16.67","0","661","40","124","6.05","18.76","-57.16","10","9","312","18","51","5.77","16.35","-4.12","31","7","13","22.58","22.58","-3.66","383","26","79","6.79","6.79","106.33",
"Rooke, George","13","1","2","7.69","15.38","-3.5","22","3","6","13.64","27.27","-4.59","702","53","172","7.55","24.5","-209.17","3","5","365","28","92","7.67","25.21","-140.95","53","11","36","20.75","20.75","-24.57","489","34","127","6.95","6.95","-155.63",
"Rutledge, Siobhan","5","0","0","0","0","-5","7","0","0","0","0","-7","659","34","110","5.16","16.69","-248.42","25","21","336","13","41","3.87","12.2","-135","27","5","12","18.52","18.52","-5.17","534","29","93","5.43","5.43","-187.92",
"Ryan, J J G","12","0","1","0","8.33","-12","34","2","7","5.88","20.59","-20.5","858","57","204","6.64","23.78","-294.41","9","16","525","37","124","7.05","23.62","-139.79","42","5","22","11.9","11.9","-22.24","652","48","172","7.36","7.36","-167.16",
"Ryan, Rossa","24","1","6","4.17","25","-19.5","55","4","14","7.27","25.45","-10","2213","383","882","17.31","39.86","81.81","5","17","1242","218","495","17.55","39.86","-75.88","484","173","319","35.74","35.74","9.16","1471","248","567","16.86","16.86","-68.91",
"Sayette, B D L","6","1","3","16.67","50","2","18","3","5","16.67","27.78","7.88","821","96","255","11.69","31.06","-203.34","2","2","401","37","112","9.23","27.93","-139.73","102","35","62","34.31","34.31","-15.46","549","62","167","11.29","11.29","-115.27",
"Sexton, Ryan","8","0","1","0","12.5","-8","14","0","3","0","21.43","-14","773","72","204","9.31","26.39","-178.55","19","21","403","34","100","8.44","24.81","-60.74","68","16","37","23.53","23.53","-15.92","647","64","177","9.89","9.89","-105.35",
"Sheehy, Danny","1","0","0","0","0","-1","2","0","0","0","0","-2","334","16","66","4.79","19.76","-192.04","54","26","183","10","41","5.46","22.4","-115.62","14","5","10","35.71","35.71","6.63","234","13","49","5.56","5.56","-111.37",
"Sheehy, M P","7","1","1","14.29","14.29","34","12","1","1","8.33","8.33","29","452","28","88","6.19","19.47","-97.16","1","1","192","9","31","4.69","16.15","-35.68","29","9","19","31.03","31.03","-10.24","197","7","34","3.55","3.55","-85.67",
"Shepherd, Callum","21","2","4","9.52","19.05","-11.06","47","6","13","12.77","27.66","-20.9","1428","166","452","11.62","31.65","-212.17","1","2","885","105","281","11.86","31.75","-148.27","162","55","94","33.95","33.95","0.05","965","121","322","12.54","12.54","-142.51",
"Shoemark, Kieran","18","7","8","38.89","44.44","9.13","31","10","13","32.26","41.94","5.76","1094","143","360","13.07","32.91","-156.02","2","2","690","94","238","13.62","34.49","-44.16","139","49","79","35.25","35.25","-3.77","635","80","203","12.6","12.6","11.75",
"Sousa, Silvestre De","14","0","6","0","42.86","-14","33","1","11","3.03","33.33","-30.9","476","62","178","13.03","37.39","-26.15","13","32","476","62","178","13.03","37.39","-26.15","82","26","53","31.71","31.71","-11.14","331","38","116","11.48","11.48","-44.46",
"Tubb, Olivia","0","0","0","0","0","0","1","0","0","0","0","-1","115","17","41","14.78","35.65","16.91","35","6","72","9","26","12.5","36.11","-10.42","8","5","5","62.5","62.5","9.58","102","17","38","16.67","16.67","29.91",
"Turner, Hayley","5","1","2","20","40","3","15","2","4","13.33","26.67","0","772","73","206","9.46","26.68","-191.4","3","4","388","41","106","10.57","27.32","-14.06","65","23","43","35.38","35.38","6.39","526","50","142","9.51","9.51","-115.66",
"Watson, Jason","15","1","6","6.67","40","-12.37","33","3","11","9.09","33.33","-24.26","959","91","272","9.49","28.36","-313.37","1","1","348","42","113","12.07","32.47","-70.93","100","32","64","32","32","-3.65","702","67","199","9.54","9.54","-174.29",
"Whearty, R","14","2","4","14.29","28.57","14.38","15","2","5","13.33","33.33","13.38","676","52","164","7.69","24.26","-94.03","1","1","414","35","108","8.45","26.09","-24.78","43","12","25","27.91","27.91","2.22","512","43","138","8.4","8.4","-116.16",
"Whelan, R P","4","0","2","0","50","-4","23","3","6","13.04","26.09","-4","1060","124","314","11.7","29.62","-146.4","9","12","526","62","152","11.79","28.9","-117.57","112","39","70","34.82","34.82","15.57","535","77","187","14.39","14.39","40.68",
"Whelan, Trevor","11","1","3","9.09","27.27","4","21","3","6","14.29","28.57","9","883","75","207","8.49","23.44","-230.95","2","1","453","44","111","9.71","24.5","-129.51","49","22","35","44.9","44.9","10.59","567","54","140","9.52","9.52","-145.45",
