Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Caffrey, Adam","10","1","2","10","20","9","19","1","2","5.26","10.53","0","650","67","181","10.31","27.85","-97.22","5","8","342","36","98","10.53","28.65","-59.38","70","19","42","27.14","27.14","7.79","539","58","154","10.76","10.76","-39.3",
"Cagney, Eireann","2","0","0","0","0","-2","4","1","2","25","50","-0.25","73","13","33","17.81","45.21","11.11","9","3","48","9","21","18.75","43.75","11.98","10","7","8","70","70","9.36","73","13","33","17.81","17.81","11.11",
"Carroll, G F","12","0","4","0","33.33","-12","21","0","8","0","38.1","-21","1031","94","264","9.12","25.61","-271.38","15","25","501","34","127","6.79","25.35","-159.57","93","26","55","27.96","27.96","-4.42","522","46","142","8.81","8.81","-167.18",
"Carson, William","9","0","0","0","0","-9","23","2","8","8.7","34.78","-7.5","901","55","185","6.1","20.53","-448.42","9","12","460","35","114","7.61","24.78","-175.95","53","17","34","32.08","32.08","-0.92","712","50","164","7.02","7.02","-299.97",
"Casey, A J","0","0","0","0","0","0","1","0","0","0","0","-1","4","1","1","25","25","9","18","3","4","1","1","25","25","9","0","0","0","0","0","0","4","1","1","25","25","9",
"Clarke, Alyse Jane","2","1","1","50","50","3","2","1","1","50","50","3","19","2","2","10.53","10.53","-7.5","5","2","19","2","2","10.53","10.53","-7.5","1","1","1","100","100","4","15","2","2","13.33","13.33","-3.5",
"Cleary, Jack","7","2","3","28.57","42.86","33","15","3","5","20","33.33","28.75","275","16","57","5.82","20.73","-117.29","7","6","161","11","38","6.83","23.6","-36.87","16","5","9","31.25","31.25","2.46","176","10","32","5.68","5.68","-64.42",
"Cleary, R P","10","1","1","10","10","-5.67","18","1","4","5.56","22.22","-13.67","813","39","149","4.8","18.33","-332.63","5","5","365","21","70","5.75","19.18","-72.38","40","9","21","22.5","22.5","-9.59","418","22","80","5.26","5.26","-64.75",
"Clutterbuck, Rhys","18","0","1","0","5.56","-18","28","0","4","0","14.29","-28","741","65","174","8.77","23.48","-244.14","16","34","404","37","94","9.16","23.27","-149.17","57","18","36","31.58","31.58","-6.14","515","53","137","10.29","10.29","-103.62",
"Coen, Ben M","16","1","6","6.25","37.5","-3","31","2","8","6.45","25.81","-10","1177","108","304","9.18","25.83","-448.33","5","9","596","50","162","8.39","27.18","-195.32","107","31","65","28.97","28.97","-8.24","599","53","147","8.85","8.85","-274.3",
"Coen, J","5","0","1","0","20","-5","7","1","2","14.29","28.57","2.5","359","22","76","6.13","21.17","-165.17","10","6","156","12","31","7.69","19.87","-40.17","19","4","10","21.05","21.05","-2.67","271","16","58","5.9","5.9","-128.67",
"Coen, S","2","0","0","0","0","-2","3","0","0","0","0","-3","3","0","0","0","0","-3","9999","9999","3","0","0","0","0","-3","0","0","0","0","0","0","3","0","0","0","0","-3",
"Colgan, R C","6","0","1","0","16.67","-6","16","0","1","0","6.25","-16","671","33","106","4.92","15.8","-89.71","78","89","312","14","49","4.49","15.71","101.75","19","6","9","31.58","31.58","-0.04","354","16","63","4.52","4.52","-134",
"Cosgrave, Pat","8","0","1","0","12.5","-8","15","0","2","0","13.33","-15","427","52","131","12.18","30.68","-119.19","15","17","194","24","53","12.37","27.32","-27.97","53","26","38","49.06","49.06","19.9","312","38","101","12.18","12.18","-92.93",
"Crosse, Nathan","4","0","2","0","50","-4","13","0","2","0","15.38","-13","801","36","134","4.49","16.73","-153.59","18","25","331","14","61","4.23","18.43","-34.72","26","5","14","19.23","19.23","-7.17","444","22","82","4.95","4.95","-20.5",
"Currie, Nicola","5","0","0","0","0","-5","10","1","1","10","10","0","282","14","40","4.96","14.18","-72.59","12","10","99","6","14","6.06","14.14","59","4","2","3","50","50","2.25","197","12","33","6.09","6.09","-2.59",
"Dalton, J S","1","0","0","0","0","-1","1","0","0","0","0","-1","1","0","0","0","0","-1","9999","9999","1","0","0","0","0","-1","0","0","0","0","0","0","1","0","0","0","0","-1",
"Donaghue-Leahy, R","2","0","0","0","0","-2","4","0","0","0","0","-4","61","5","14","8.2","22.95","-26","23","5","40","5","12","12.5","30","-5","5","1","1","20","20","-0.5","45","5","12","11.11","11.11","-10",
"Dunsdon, Mr D H","1","0","1","0","100","-1","1","0","1","0","100","-1","13","1","8","7.69","61.54","38","34","2","7","1","5","14.29","71.43","44","2","0","2","0","0","-2","12","1","8","8.33","8.33","39",
"Edwards, Lee","0","0","0","0","0","0","0","0","0","0","0","0","335","28","76","8.36","22.69","-68.87","43","6","171","17","44","9.94","25.73","-28","22","3","8","13.64","13.64","-9.75","203","22","54","10.84","10.84","-40.75",
"Egan, David","22","3","8","13.64","36.36","-5","41","5","13","12.2","31.71","-14","1557","185","496","11.88","31.86","-343.23","1","1","758","95","242","12.53","31.93","-79.16","165","55","104","33.33","33.33","-5.72","929","105","273","11.3","11.3","-126.97",
"Foley, Shane","20","0","6","0","30","-20","43","2","13","4.65","30.23","-35.17","1246","137","386","11","30.98","-211.64","12","40","669","77","202","11.51","30.19","-94.39","158","32","88","20.25","20.25","-68.21","593","55","174","9.27","9.27","-142.27",
"Fraser, Kaiya","8","0","0","0","0","-8","18","2","5","11.11","27.78","-0.5","260","33","91","12.69","35","-57.53","10","11","130","12","42","9.23","32.31","-59.92","45","12","24","26.67","26.67","-10.61","227","31","83","13.66","13.66","-47.53",
"Garritty, Billy","9","1","3","11.11","33.33","0","16","1","5","6.25","31.25","-7","882","102","263","11.56","29.82","40.78","7","9","444","51","127","11.49","28.6","49.66","87","28","51","32.18","32.18","-5.75","652","75","190","11.5","11.5","-129.97",
"Ghiani, Marco","9","1","3","11.11","33.33","-3","20","4","7","20","35","2.83","768","97","252","12.63","32.81","-82.15","3","6","535","67","171","12.52","31.96","-194.37","119","41","72","34.45","34.45","1.62","531","74","185","13.94","13.94","-104.28",
"Gleeson, Mr J L","3","0","2","0","66.67","-3","9","1","3","11.11","33.33","-3.5","229","34","94","14.85","41.05","-16.27","10","6","133","14","51","10.53","38.35","-85.86","38","15","24","39.47","39.47","-7.35","31","0","4","0","0","-31",
"Goldstein, Marc","2","0","1","0","50","-2","3","0","1","0","33.33","-3","190","19","56","10","29.47","45.83","135","37","117","7","34","5.98","29.06","-62","9","3","5","33.33","33.33","1","111","14","41","12.61","12.61","92.75",
"Hampson, Brodie","2","0","0","0","0","-2","4","1","1","25","25","0","137","15","39","10.95","28.47","-1.37","13","4","83","9","24","10.84","28.92","21.5","19","4","11","21.05","21.05","-4.62","125","14","37","11.2","11.2","5.13",
"Hanlon, Mr P","11","2","4","18.18","36.36","5","25","2","8","8","32","-9","166","10","41","6.02","24.7","-63.33","6","10","146","9","38","6.16","26.03","-45","9","1","4","11.11","11.11","-7.33","81","6","19","7.41","7.41","-15.5",
"Harnett, P A","2","0","1","0","50","-2","3","0","1","0","33.33","-3","242","14","53","5.79","21.9","60.83","184","68","128","4","33","3.13","25.78","-108","13","2","7","15.38","15.38","-5","167","11","41","6.59","6.59","-97.17",
"Harney, Gearoid","0","0","0","0","0","0","1","0","1","0","100","-1","118","11","40","9.32","33.9","-32.79","267","35","77","6","27","7.79","35.06","-48.12","13","3","8","23.08","23.08","-1.87","90","9","33","10","10","-12.37",
"Harris, Bradley","2","0","2","0","100","-2","3","0","2","0","66.67","-3","257","41","97","15.95","37.74","22.16","107","31","147","17","55","11.56","37.41","21.39","47","17","28","36.17","36.17","-3.84","188","28","66","14.89","14.89","26",
"Hassett, M W","14","2","3","14.29","21.43","0","28","4","7","14.29","25","6.5","403","44","123","10.92","30.52","-49.04","5","6","317","39","102","12.3","32.18","1.21","47","12","27","25.53","25.53","-0.87","336","41","107","12.2","12.2","2.21",
"Hayes, Amy Jo","4","0","2","0","50","-4","6","0","2","0","33.33","-6","131","9","28","6.87","21.37","-8","80","33","75","4","19","5.33","25.33","-20","2","1","2","50","50","1.5","110","9","27","8.18","8.18","13",
"Hayes, C D","16","3","6","18.75","37.5","2.33","30","3","7","10","23.33","-11.67","1351","108","380","7.99","28.13","-691.68","1","2","642","51","170","7.94","26.48","-318.37","139","35","81","25.18","25.18","-46.79","730","49","187","6.71","6.71","-368.18",
"Heffernan, J A","6","0","1","0","16.67","-6","6","0","1","0","16.67","-6","1079","109","300","10.1","27.8","-210.5","16","15","494","45","132","9.11","26.72","-103.06","106","42","80","39.62","39.62","8.14","517","28","113","5.42","5.42","-199.16",
"Hill, Gabriella Adela","1","0","0","0","0","-1","2","0","0","0","0","-2","26","1","6","3.85","23.08","-23.62","87","13","26","1","6","3.85","23.08","-23.62","1","1","1","100","100","1.38","19","1","6","5.26","5.26","-16.62",
"Hogan, D E","10","1","2","10","20","5","19","1","3","5.26","15.79","-4","815","81","242","9.94","29.69","-0.76","7","10","460","49","137","10.65","29.78","-0.81","64","19","38","29.69","29.69","-3.83","571","64","183","11.21","11.21","9.3",
"Horgan, C","4","0","0","0","0","-4","5","0","0","0","0","-5","321","13","41","4.05","12.77","-112.42","17","9","169","7","19","4.14","11.24","-11.17","12","2","7","16.67","16.67","-4.75","238","11","33","4.62","4.62","-99.17",
"Horgan, H J","4","1","3","25","75","-0.75","6","1","3","16.67","50","-2.75","212","28","57","13.21","26.89","150.91","3","2","116","16","37","13.79","31.9","131.86","26","11","17","42.31","42.31","7.41","143","13","37","9.09","9.09","132",
"Howarth, Christian","4","0","1","0","25","-4","10","1","4","10","40","-1.5","484","32","106","6.61","21.9","-97.84","8","5","276","13","49","4.71","17.75","-194.92","26","6","11","23.08","23.08","-8.17","395","26","91","6.58","6.58","-89.67",
"Hughes, Brian","8","2","3","25","37.5","3.5","14","2","5","14.29","35.71","-2.5","1542","237","560","15.37","36.32","-350.38","1","1","690","94","231","13.62","33.48","-144.27","306","96","170","31.37","31.37","-79.42","1046","147","349","14.05","14.05","-278.97",
"Johnston, Dylan","5","1","2","20","40","-2","6","1","2","16.67","33.33","-3","285","32","99","11.23","34.74","-87.6","2","2","143","21","56","14.69","39.16","-30.35","31","9","19","29.03","29.03","-10.18","237","27","86","11.39","11.39","-70.43",
"Joyce, Wesley","14","1","3","7.14","21.43","3","24","2","5","8.33","20.83","1","379","33","91","8.71","24.01","-101.04","7","13","358","31","83","8.66","23.18","-97.54","28","9","17","32.14","32.14","3.46","288","30","78","10.42","10.42","-72.54",
"Kavanagh, Peter J","3","0","1","0","33.33","-3","4","1","2","25","50","3","306","24","70","7.84","22.88","-152.59","8","4","152","12","38","7.89","25","-81.35","21","5","12","23.81","23.81","-6.05","235","19","56","8.09","8.09","-100.22",
"Keane, C T","10","1","3","10","30","-7.9","31","4","12","12.9","38.71","10.93","1620","228","579","14.07","35.74","-352.38","7","9","817","129","307","15.79","37.58","-133.08","333","100","190","30.03","30.03","-51","822","101","265","12.29","12.29","-143.48",
"Keen-hawkins, Miss L","0","0","0","0","0","0","0","0","0","0","0","0","8","0","2","0","25","-8","856","11","4","0","2","0","50","-4","0","0","0","0","0","0","6","0","2","0","0","-6",
"Keenan, Darragh","12","3","3","25","25","18.5","28","3","5","10.71","17.86","2.5","885","65","179","7.34","20.23","-225.86","1","1","413","34","95","8.23","23","-165.03","46","17","25","36.96","36.96","2.43","587","48","136","8.18","8.18","-99.45",
"Kennedy, K G","6","1","1","16.67","16.67","3","13","2","4","15.38","30.77","-1","201","26","61","12.94","30.35","2.14","1","1","201","26","61","12.94","30.35","2.14","32","10","17","31.25","31.25","3.31","181","24","55","13.26","13.26","16.24",
"King, D","4","0","2","0","50","-4","16","2","8","12.5","50","5","637","53","175","8.32","27.47","-180.23","10","12","321","20","88","6.23","27.41","-172.85","51","16","34","31.37","31.37","3.44","414","37","118","8.94","8.94","-74.76",
"Lambert, Finn","0","0","0","0","0","0","1","0","0","0","0","-1","292","28","78","9.59","26.71","-134.13","79","9","132","11","30","8.33","22.73","-86.29","39","12","24","30.77","30.77","-3.01","207","20","55","9.66","9.66","-90.54",
"Lee, W J","17","3","7","17.65","41.18","-0.5","30","8","15","26.67","50","5.76","1305","176","465","13.49","35.63","-284.96","3","6","595","98","218","16.47","36.64","-6.88","250","82","155","32.8","32.8","-8.51","614","64","202","10.42","10.42","-195.04",
"Lordan, W M","11","0","3","0","27.27","-11","25","0","7","0","28","-25","606","66","184","10.89","30.36","-214.59","15","30","249","32","77","12.85","30.92","-108.64","79","30","56","37.97","37.97","-0.5","253","17","63","6.72","6.72","-111.99",
"Macey, Benjamin","0","0","0","0","0","0","0","0","0","0","0","0","25","3","7","12","28","-4.62","15","1","21","3","6","14.29","28.57","-0.62","2","1","2","50","50","0.38","25","3","7","12","12","-4.62",
"MacRedmond, Cian","5","0","1","0","20","-5","9","0","1","0","11.11","-9","515","23","87","4.47","16.89","-315.27","18","15","244","11","36","4.51","14.75","-141.5","25","5","14","20","20","-10.52","425","17","74","4","4","-254.25",
"Marsh, Finley","13","1","5","7.69","38.46","-8.5","27","6","13","22.22","48.15","3.69","759","96","235","12.65","30.96","31.01","6","7","504","67","163","13.29","32.34","47.26","86","28","51","32.56","32.56","-3.31","563","77","188","13.68","13.68","-48.25",
"Marshall, Mr Billy","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-2","9999","9999","1","0","0","0","0","-1","0","0","0","0","0","0","2","0","0","0","0","-2",
"Martin, James","0","0","0","0","0","0","2","0","0","0","0","-2","72","8","18","11.11","25","-19.12","37","4","45","5","10","11.11","22.22","-8","8","2","5","25","25","-1.12","47","8","17","17.02","17.02","5.88",
"McAteer, L T","5","1","1","20","20","-1.75","9","1","3","11.11","33.33","-5.75","612","46","126","7.52","20.59","-226.57","3","2","304","23","62","7.57","20.39","-122.85","43","12","19","27.91","27.91","-4.4","334","29","63","8.68","8.68","-41.05",
"McCullagh, N G","6","1","3","16.67","50","9","8","1","3","12.5","37.5","7","343","12","50","3.5","14.58","-203.5","3","2","164","6","25","3.66","15.24","-92.5","7","0","2","0","0","-7","184","11","37","5.98","5.98","-50",
"McCullagh, Scott","2","0","0","0","0","-2","8","0","2","0","25","-8","304","21","84","6.91","27.63","-144.1","87","50","167","10","47","5.99","28.14","-87.59","15","1","6","6.67","6.67","-12.5","201","15","58","7.46","7.46","-102.09",
"McDonogh, D P","10","0","2","0","20","-10","16","1","5","6.25","31.25","-5","930","76","248","8.17","26.67","-384.1","10","14","437","35","107","8.01","24.49","-202.27","78","19","46","24.36","24.36","-25.68","437","29","102","6.64","6.64","-204.92",
"Morgan, Mr Beau","1","0","1","0","100","-1","2","0","1","0","50","-2","178","23","63","12.92","35.39","-87.56","157","38","99","6","31","6.06","31.31","-78.37","32","14","25","43.75","43.75","4.19","141","16","48","11.35","11.35","-69.2",
"Morris, Luke","18","1","7","5.56","38.89","-15.62","42","3","15","7.14","35.71","-24.37","2115","187","565","8.84","26.71","-615.14","2","1","950","86","248","9.05","26.11","-316.5","191","57","112","29.84","29.84","-33.34","1554","142","416","9.14","9.14","-407.72",
"Mortensen, Mikkel","5","0","0","0","0","-5","11","1","1","9.09","9.09","-5","121","12","30","9.92","24.79","-38.42","12","9","82","8","20","9.76","24.39","-33.17","12","2","4","16.67","16.67","-5.67","108","12","29","11.11","11.11","-25.42",
"Mullins, D E","8","1","1","12.5","12.5","-2","23","1","4","4.35","17.39","-17","889","85","253","9.56","28.46","-310.46","5","6","423","46","127","10.87","30.02","-96.93","95","27","47","28.42","28.42","-19.29","400","29","107","7.25","7.25","-176.24",
"Nichol, Craig","0","0","0","0","0","0","1","0","0","0","0","-1","657","61","158","9.28","24.05","-84.57","35","6","344","37","88","10.76","25.58","-1.09","50","12","28","24","24","-14.07","456","50","124","10.96","10.96","-23.35",
"Nicholls, Miss Olive","0","0","0","0","0","0","2","0","1","0","50","-2","61","10","25","16.39","40.98","-26.59","177","24","40","4","13","10","32.5","-23.15","13","7","9","53.85","53.85","3.41","23","4","8","17.39","17.39","-1.75",
"Obrien, P V","1","0","0","0","0","-1","2","0","0","0","0","-2","475","70","171","14.74","36","-91","72","13","263","41","104","15.59","39.54","-71.23","74","26","45","35.14","35.14","-3.77","275","49","110","17.82","17.82","-29.27",
"ONeill, Jonjo (Jr)","5","0","1","0","20","-5","8","1","2","12.5","25","-4.5","823","117","274","14.22","33.29","-312.17","11","7","402","53","129","13.18","32.09","-152.15","155","58","95","37.42","37.42","-25.83","472","58","129","12.29","12.29","-165.13",
"ONeill, K T","16","0","5","0","31.25","-16","32","2","12","6.25","37.5","-25.29","1525","138","400","9.05","26.23","-313.16","8","18","771","73","214","9.47","27.76","-237.88","117","37","72","31.62","31.62","-16.4","1119","93","284","8.31","8.31","-282.92",
"Osborne, Saffie","17","4","5","23.53","29.41","19.5","35","5","11","14.29","31.43","4.75","1230","163","390","13.25","31.71","-27.47","3","7","622","94","208","15.11","33.44","-4.51","131","49","79","37.4","37.4","19.99","870","125","293","14.37","14.37","133.95",
"OSullivan, Darragh","3","0","0","0","0","-3","7","1","1","14.29","14.29","6","37","2","6","5.41","16.22","-19.67","10","6","37","2","6","5.41","16.22","-19.67","1","0","1","0","0","-1","29","1","4","3.45","3.45","-16",
"Patrick, Richard","0","0","0","0","0","0","1","0","1","0","100","-1","359","49","121","13.65","33.7","-30.75","115","14","183","26","62","14.21","33.88","15.72","47","18","27","38.3","38.3","3.5","238","33","87","13.87","13.87","3.83",
"Pietropaolo, J","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9999","9999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Pinchin, Miss L M","1","0","0","0","0","-1","3","0","1","0","33.33","-3","397","42","105","10.58","26.45","-156.69","79","24","231","19","54","8.23","23.38","-114.26","40","13","18","32.5","32.5","-2.43","295","33","82","11.19","11.19","-91.73",
"Powell, Brendan","7","1","2","14.29","28.57","-2.5","11","1","3","9.09","27.27","-6.5","887","75","247","8.46","27.85","-438.64","1","1","421","34","109","8.08","25.89","-228.13","73","25","44","34.25","34.25","2.4","589","62","181","10.53","10.53","-207.98",
"Powell, J A","8","0","0","0","0","-8","14","1","2","7.14","14.29","-2","616","44","143","7.14","23.21","-245.01","10","13","279","19","54","6.81","19.35","-122.84","49","9","27","18.37","18.37","-6.34","485","41","124","8.45","8.45","-138.01",
"Pritchard, Mr Callum","1","0","1","0","100","-1","3","0","1","0","33.33","-3","58","1","11","1.72","18.97","-53.5","311","53","54","1","11","1.85","20.37","-49.5","3","0","1","0","0","-3","36","1","9","2.78","2.78","-31.5",
"Queally, T P","8","2","3","25","37.5","14.5","15","3","4","20","26.67","12.5","509","61","139","11.98","27.31","-68.47","2","4","235","26","53","11.06","22.55","-84.58","60","24","41","40","40","13.53","384","50","108","13.02","13.02","-57.09",
"Quinlan, Jack","4","1","1","25","25","1","7","2","3","28.57","42.86","17","550","56","138","10.18","25.09","-178.62","4","2","261","21","54","8.05","20.69","-87.83","47","16","28","34.04","34.04","-4.28","310","33","76","10.65","10.65","-74.63",
"Quinlan, Sean","6","3","3","50","50","14","9","5","6","55.56","66.67","19.25","991","120","315","12.11","31.79","-286.63","6","2","435","51","129","11.72","29.66","-157.9","146","46","93","31.51","31.51","-16.04","716","98","236","13.69","13.69","-137.24",
"Quinn, Caoilin","0","0","0","0","0","0","0","0","0","0","0","0","422","56","150","13.27","35.55","-100.3","49","5","198","32","79","16.16","39.9","5.33","63","18","38","28.57","28.57","-13.42","332","44","126","13.25","13.25","-48.97",
"Reed, Harry","4","0","0","0","0","-4","8","0","1","0","12.5","-8","420","28","94","6.67","22.38","-226.57","55","20","203","14","50","6.9","24.63","-108.07","23","7","12","30.43","30.43","-2.36","269","21","62","7.81","7.81","-95.46",
"Roche, L F","6","0","0","0","0","-6","11","1","2","9.09","18.18","1","660","40","124","6.06","18.79","-56.16","9","8","312","18","52","5.77","16.67","-4.12","31","7","13","22.58","22.58","-3.66","383","26","79","6.79","6.79","106.33",
"Rutledge, Siobhan","4","0","0","0","0","-4","6","0","0","0","0","-6","660","34","110","5.15","16.67","-249.42","24","20","336","13","41","3.87","12.2","-135","27","5","12","18.52","18.52","-5.17","535","29","93","5.42","5.42","-188.92",
"Ryan, Gavin","8","0","3","0","37.5","-8","13","0","4","0","30.77","-13","724","60","163","8.29","22.51","-218.12","22","26","348","32","83","9.2","23.85","-128.11","60","15","33","25","25","-16.7","346","29","67","8.38","8.38","-13.04",
"Ryan, J J G","13","0","1","0","7.69","-13","32","2","7","6.25","21.88","-18.5","857","57","204","6.65","23.8","-293.41","8","14","526","37","124","7.03","23.57","-140.79","42","5","22","11.9","11.9","-22.24","651","48","172","7.37","7.37","-166.16",
"Sayette, B D L","7","1","2","14.29","28.57","1","18","3","4","16.67","22.22","7.88","823","97","256","11.79","31.11","-199.84","1","1","404","37","111","9.16","27.48","-142.73","102","35","62","34.31","34.31","-15.46","549","62","166","11.29","11.29","-115.27",
"Sheehan, Gavin","9","4","4","44.44","44.44","11.56","20","4","9","20","45","0.56","1014","172","370","16.96","36.49","-9.61","2","2","532","84","174","15.79","32.71","37.1","179","69","111","38.55","38.55","-2.16","622","99","212","15.92","15.92","-67.19",
"Sheehy, Danny","0","0","0","0","0","0","1","0","0","0","0","-1","333","16","66","4.8","19.82","-191.04","53","25","182","10","41","5.49","22.53","-114.62","14","5","10","35.71","35.71","6.63","233","13","49","5.58","5.58","-110.37",
"Sheehy, M P","6","0","0","0","0","-6","10","0","0","0","0","-10","452","27","87","5.97","19.25","-138.16","15","14","190","8","30","4.21","15.79","-74.68","29","9","19","31.03","31.03","-10.24","198","7","34","3.54","3.54","-86.67",
"Shepherd, Callum","25","2","5","8","20","-20.81","49","5","14","10.2","28.57","-31.4","1430","165","451","11.54","31.54","-222.67","3","13","887","105","282","11.84","31.79","-154.77","162","55","94","33.95","33.95","0.05","965","120","321","12.44","12.44","-151.01",
"Skelton, Harry","10","2","3","20","30","-4.55","12","3","5","25","41.67","-2.8","956","201","440","21.03","46.03","-137.58","1","3","564","119","262","21.1","46.45","-77.39","306","114","202","37.25","37.25","-13.89","529","105","227","19.85","19.85","-33.13",
"Slattery, A J","3","1","2","33.33","66.67","48","12","2","4","16.67","33.33","45","601","50","133","8.32","22.13","-1.52","7","2","257","20","62","7.78","24.12","1.75","29","12","16","41.38","41.38","10.98","341","31","82","9.09","9.09","-3.15",
"Sousa, Silvestre De","13","0","6","0","46.15","-13","36","1","13","2.78","36.11","-33.9","475","62","178","13.05","37.47","-25.15","12","31","475","62","178","13.05","37.47","-25.15","82","26","53","31.71","31.71","-11.14","331","38","116","11.48","11.48","-44.46",
"Sutton, Mr B","2","1","2","50","100","0.2","6","2","5","33.33","83.33","4.2","104","20","41","19.23","39.42","1.32","5","1","66","11","21","16.67","31.82","-17.93","23","10","18","43.48","43.48","5.82","61","12","23","19.67","19.67","12.13",
