Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Caffrey, Adam","11","1","1","9.09","9.09","8","21","1","4","4.76","19.05","-2","645","67","180","10.39","27.91","-92.22","2","2","340","36","97","10.59","28.53","-57.38","70","19","42","27.14","27.14","7.79","536","58","153","10.82","10.82","-36.3",
"Callan, N","11","1","5","9.09","45.45","-8","23","2","9","8.7","39.13","-15","939","116","300","12.35","31.95","-116.53","5","6","435","43","134","9.89","30.8","-157.17","133","41","84","30.83","30.83","-20.87","610","77","200","12.62","12.62","-52.48",
"Carroll, G F","13","0","6","0","46.15","-13","25","2","8","8","32","-9.5","1027","95","264","9.25","25.71","-248.38","12","19","504","35","129","6.94","25.6","-158.07","93","26","55","27.96","27.96","-4.42","520","47","142","9.04","9.04","-146.18",
"Carson, William","10","1","4","10","40","-3.5","22","2","8","9.09","36.36","-6.5","894","55","185","6.15","20.69","-441.42","6","5","455","35","114","7.69","25.05","-170.95","53","17","34","32.08","32.08","-0.92","710","50","164","7.04","7.04","-297.97",
"Carver, William","0","0","0","0","0","0","4","0","0","0","0","-4","275","21","60","7.64","21.82","-128.75","48","11","149","11","32","7.38","21.48","-76.75","21","3","9","14.29","14.29","-9.5","186","14","38","7.53","7.53","-89",
"Casey, T","1","0","0","0","0","-1","1","0","0","0","0","-1","6","0","1","0","16.67","-6","9999","9999","6","0","1","0","16.67","-6","0","0","0","0","0","0","3","0","1","0","0","-3",
"Cleary, Jack","10","3","4","30","40","33.75","18","3","7","16.67","38.89","25.75","274","16","57","5.84","20.8","-116.29","4","3","159","11","38","6.92","23.9","-34.87","16","5","9","31.25","31.25","2.46","173","10","32","5.78","5.78","-61.42",
"Cleary, R P","14","1","3","7.14","21.43","-9.67","18","1","4","5.56","22.22","-13.67","814","39","149","4.79","18.3","-333.63","2","2","366","21","70","5.74","19.13","-73.38","40","9","21","22.5","22.5","-9.59","417","22","80","5.28","5.28","-63.75",
"Clutterbuck, Rhys","13","0","3","0","23.08","-13","27","1","6","3.7","22.22","-22","735","65","174","8.84","23.67","-238.14","13","23","396","37","95","9.34","23.99","-141.17","56","18","36","32.14","32.14","-5.14","513","53","137","10.33","10.33","-101.62",
"Coakley, Ross","10","2","5","20","50","-0.17","21","4","8","19.05","38.1","8.21","720","86","223","11.94","30.97","-167.73","3","3","374","41","108","10.96","28.88","-72.94","79","26","45","32.91","32.91","-6.78","429","53","132","12.35","12.35","-83.08",
"Coen, Ben M","21","2","4","9.52","19.05","0","29","2","6","6.9","20.69","-8","1173","109","301","9.29","25.66","-441.33","2","1","596","51","160","8.56","26.85","-176.32","107","32","65","29.91","29.91","-5.24","597","53","144","8.88","8.88","-272.3",
"Colgan, R C","13","0","1","0","7.69","-13","22","0","4","0","18.18","-22","669","33","106","4.93","15.84","-87.71","75","86","316","14","49","4.43","15.51","97.75","19","6","9","31.58","31.58","-0.04","352","16","63","4.55","4.55","-132",
"Coughlan, Laura","1","0","0","0","0","-1","3","0","0","0","0","-3","213","17","46","7.98","21.6","-21.17","33","11","102","6","16","5.88","15.69","-27.5","15","4","8","26.67","26.67","-3.67","175","14","37","8","8","-14.17",
"Cox, William","5","0","0","0","0","-5","9","0","0","0","0","-9","421","13","53","3.09","12.59","-200.5","49","39","246","8","31","3.25","12.6","-58.5","8","0","2","0","0","-8","282","9","40","3.19","3.19","-99.5",
"Crosse, Nathan","10","0","1","0","10","-10","21","0","2","0","9.52","-21","800","36","133","4.5","16.63","-152.59","15","23","330","14","61","4.24","18.48","-33.72","26","5","14","19.23","19.23","-7.17","443","22","81","4.97","4.97","-19.5",
"Crouch, Hector","23","5","10","21.74","43.48","0.13","41","10","17","24.39","41.46","32.71","967","150","334","15.51","34.54","-104.54","2","3","506","74","181","14.62","35.77","-94.73","175","56","102","32","32","-18.95","546","86","190","15.75","15.75","-9.12",
"Crowley, Jim","16","0","3","0","18.75","-16","30","2","6","6.67","20","-25","757","129","263","17.04","34.74","-71.29","12","25","393","53","121","13.49","30.79","-106.77","158","63","101","39.87","39.87","1.89","395","52","128","13.16","13.16","-47.48",
"Currie, Nicola","3","0","0","0","0","-3","9","1","1","11.11","11.11","1","285","15","42","5.26","14.74","-69.09","9","6","101","7","17","6.93","16.83","61.33","4","2","3","50","50","2.25","203","13","35","6.4","6.4","-2.09",
"Da Silva, Raul","3","0","0","0","0","-3","6","0","0","0","0","-6","110","7","25","6.36","22.73","-36.22","163","36","67","5","14","7.46","20.9","-38.55","8","1","4","12.5","12.5","-6.38","63","2","10","3.17","3.17","-17.67",
"Davies, Miss Megan","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","-5","9999","9999","5","0","0","0","0","-5","0","0","0","0","0","0","4","0","0","0","0","-4",
"Davis, Sean","0","0","0","0","0","0","3","0","0","0","0","-3","87","1","6","1.15","6.9","-82","318","69","69","1","4","1.45","5.8","-64","6","0","2","0","0","-6","60","1","5","1.67","1.67","-55",
"Dawson, R","14","2","5","14.29","35.71","-3.5","27","4","9","14.81","33.33","-6.17","560","61","169","10.89","30.18","-84.81","3","4","178","14","48","7.87","26.97","-90.44","81","19","46","23.46","23.46","-25.06","371","41","113","11.05","11.05","-95.6",
"Dickson, Mr Jake","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","20","-5","9999","9999","5","0","1","0","20","-5","0","0","0","0","0","0","5","0","1","0","0","-5",
"Dobbs, Pat","5","0","3","0","60","-5","11","0","4","0","36.36","-11","393","43","130","10.94","33.08","-115.48","38","29","167","21","58","12.57","34.73","-13.55","43","16","28","37.21","37.21","0.67","184","19","66","10.33","10.33","-40.92",
"Dobie, Georgia","5","1","2","20","40","0","13","1","3","7.69","23.08","-8","440","23","80","5.23","18.18","-226.75","1","1","251","15","43","5.98","17.13","-113.5","18","3","8","16.67","16.67","-8.75","338","18","67","5.33","5.33","-168.25",
"Donaghue-Leahy, R","2","0","0","0","0","-2","3","0","0","0","0","-3","61","5","14","8.2","22.95","-26","20","4","40","5","12","12.5","30","-5","5","1","1","20","20","-0.5","45","5","12","11.11","11.11","-10",
"Downing, George","4","0","0","0","0","-4","7","0","1","0","14.29","-7","255","22","74","8.63","29.02","-94.49","15","9","123","14","41","11.38","33.33","-36.12","25","5","16","20","20","-9.62","159","16","44","10.06","10.06","-40.92",
"Doyle, Hollie","15","3","9","20","60","-6.82","44","8","17","18.18","38.64","-13.74","1759","236","563","13.42","32.01","-463.33","2","2","988","124","329","12.55","33.3","-337.69","289","94","166","32.53","32.53","-35.93","1210","157","367","12.98","12.98","-307.47",
"Doyle, James","18","3","7","16.67","38.89","-7.44","28","4","11","14.29","39.29","-16.31","859","163","360","18.98","41.91","-207.53","1","3","434","79","178","18.2","41.01","-121.54","274","103","178","37.59","37.59","-39.29","380","65","139","17.11","17.11","-65.52",
"Dring, Miss Hannah","0","0","0","0","0","0","0","0","0","0","0","0","6","1","3","16.67","50","-0.5","430","3","1","0","1","0","100","-1","1","0","0","0","0","-1","6","1","3","16.67","16.67","-0.5",
"Eaves, Tom","17","1","4","5.88","23.53","-7.5","32","2","6","6.25","18.75","-10.5","1335","106","326","7.94","24.42","-361.86","7","15","702","57","174","8.12","24.79","-157.49","74","23","48","31.08","31.08","-10.45","957","72","241","7.52","7.52","-313.79",
"Edmunds, Lewis","9","0","3","0","33.33","-9","26","1","7","3.85","26.92","-21.5","929","104","278","11.19","29.92","-165.43","13","21","512","61","173","11.91","33.79","-142.33","107","36","66","33.64","33.64","10.74","718","94","239","13.09","13.09","-18.67",
"Egan, David","21","2","6","9.52","28.57","-11","44","4","10","9.09","22.73","-18","1551","183","491","11.8","31.66","-352.73","6","17","759","95","239","12.52","31.49","-79.46","166","56","105","33.73","33.73","-5.22","925","103","269","11.14","11.14","-133.47",
"Egan, John","6","0","0","0","0","-6","14","0","0","0","0","-14","412","30","94","7.28","22.82","-215.65","22","17","180","9","38","5","21.11","-103.67","28","9","19","32.14","32.14","-0.65","305","26","81","8.52","8.52","-123.98",
"Elliott, Rhys","10","0","1","0","10","-10","21","1","5","4.76","23.81","-12.5","104","11","32","10.58","30.77","-16.42","12","16","102","11","32","10.78","31.37","-14.42","11","3","4","27.27","27.27","0.08","95","10","28","10.53","10.53","-12.42",
"Fallon, Cieren","19","3","7","15.79","36.84","-8.25","37","4","12","10.81","32.43","-11.25","878","116","274","13.21","31.21","-212.95","5","8","379","59","118","15.57","31.13","-71.69","113","38","60","33.63","33.63","-11.48","540","68","160","12.59","12.59","-130.01",
"Fanning, Joe","28","1","9","3.57","32.14","-22.5","41","5","15","12.2","36.59","-11.67","953","144","328","15.11","34.42","-42.79","4","18","559","80","194","14.31","34.7","-48.2","142","50","89","35.21","35.21","-1.95","746","110","252","14.75","14.75","-49.95",
"Farragher, Adam J","11","1","2","9.09","18.18","-5","25","4","5","16","20","-10.5","837","89","208","10.63","24.85","-220.22","2","1","482","45","110","9.34","22.82","-121.4","83","33","56","39.76","39.76","13.2","583","68","155","11.66","11.66","-126.67",
"Feilden, Sam","3","1","1","33.33","33.33","5","9","1","2","11.11","22.22","-1","152","12","41","7.89","26.97","-58.25","7","3","77","5","17","6.49","22.08","-38.75","8","2","6","25","25","-2.25","133","11","37","8.27","8.27","-52.25",
"Fentiman, Duran","14","0","4","0","28.57","-14","21","0","4","0","19.05","-21","622","29","111","4.66","17.85","-245.56","16","23","296","21","66","7.09","22.3","-29.09","23","3","10","13.04","13.04","-16.22","509","27","97","5.3","5.3","-140.09",
"Fisher, Taylor","3","0","0","0","0","-3","10","1","1","10","10","1","505","61","160","12.08","31.68","-156.9","9","4","171","18","51","10.53","29.82","-71.63","59","22","36","37.29","37.29","10.86","427","48","137","11.24","11.24","-167.62",
"Foley, Shane","29","0","7","0","24.14","-29","38","3","10","7.89","26.32","-18.17","1244","138","385","11.09","30.95","-205.14","9","31","672","77","205","11.46","30.51","-97.39","157","32","87","20.38","20.38","-67.21","590","55","171","9.32","9.32","-139.27",
"Fraser, Kaiya","9","1","4","11.11","44.44","3","17","3","6","17.65","35.29","9","257","33","91","12.84","35.41","-54.53","7","7","126","12","42","9.52","33.33","-55.92","45","12","24","26.67","26.67","-10.61","224","31","83","13.84","13.84","-44.53",
"Frost, Miss Lauren","1","0","0","0","0","-1","1","0","0","0","0","-1","12","1","2","8.33","16.67","-8.5","112","9","12","1","2","8.33","16.67","-8.5","1","1","1","100","100","2.5","12","1","2","8.33","8.33","-8.5",
"Garritty, Jack","2","0","1","0","50","-2","10","0","3","0","30","-10","441","39","136","8.84","30.84","-176.74","20","12","210","15","63","7.14","30","-104.62","48","12","30","25","25","-7.24","313","32","103","10.22","10.22","-84.12",
"Garven, Miss Alex","0","0","0","0","0","0","0","0","0","0","0","0","7","1","1","14.29","14.29","10","418","6","5","0","0","0","0","-5","0","0","0","0","0","0","7","1","1","14.29","14.29","10",
"Germany, Stephanie","0","0","0","0","0","0","1","0","0","0","0","-1","12","3","4","25","33.33","2.5","16","2","10","3","4","30","40","4.5","2","2","2","100","100","6.5","12","3","4","25","25","2.5",
"Ghiani, Marco","10","2","4","20","40","1.83","23","3","5","13.04","21.74","-6.17","768","96","252","12.5","32.81","-88.15","5","5","538","67","174","12.45","32.34","-201.64","121","41","74","33.88","33.88","-0.38","534","73","186","13.67","13.67","-113.28",
"Gilligan, Jack","4","1","1","25","25","0.5","13","1","2","7.69","15.38","-8.5","194","30","72","15.46","37.11","61.99","7","3","194","30","72","15.46","37.11","61.99","33","12","20","36.36","36.36","0.16","140","25","55","17.86","17.86","53.47",
"Gordon, Josephine","9","0","0","0","0","-9","14","0","1","0","7.14","-14","523","39","117","7.46","22.37","-165.63","49","17","282","21","61","7.45","21.63","-71.26","30","8","16","26.67","26.67","4.29","430","35","103","8.14","8.14","-95.88",
"Gray, S A","13","1","3","7.69","23.08","-11.67","18","1","4","5.56","22.22","-16.67","719","63","181","8.76","25.17","-111.07","5","10","337","34","90","10.09","26.71","-55.9","45","15","29","33.33","33.33","-0.85","499","39","120","7.82","7.82","-76.84",
"Hardie, Cameron","27","0","2","0","7.41","-27","43","1","4","2.33","9.3","-14","1600","58","266","3.63","16.63","-917.88","14","42","801","26","117","3.25","14.61","-406.67","46","6","22","13.04","13.04","-30.71","1274","46","221","3.61","3.61","-809.87",
"Hart, Jason","31","1","9","3.23","29.03","-26","51","2","14","3.92","27.45","-35","1904","220","628","11.55","32.98","-455.45","4","17","970","101","308","10.41","31.75","-286.63","284","82","167","28.87","28.87","-39.02","1397","156","456","11.17","11.17","-314.97",
"Hassett, M W","20","4","7","20","35","14.5","31","6","10","19.35","32.26","19","398","44","123","11.06","30.9","-44.04","2","1","316","39","104","12.34","32.91","2.21","45","12","27","26.67","26.67","1.13","333","41","107","12.31","12.31","5.21",
"Havlin, Robert","16","1","2","6.25","12.5","-13.25","35","3","6","8.57","17.14","-26.88","1209","182","448","15.05","37.06","-273.29","6","14","618","82","219","13.27","35.44","-170.75","190","75","124","39.47","39.47","-7.27","706","103","255","14.59","14.59","-126.24",
"Hayes, C D","22","1","4","4.55","18.18","-17.67","40","4","9","10","22.5","-17.67","1354","110","381","8.12","28.14","-670.18","2","1","643","49","169","7.62","26.28","-333.37","140","36","82","25.71","25.71","-45.29","729","50","187","6.86","6.86","-357.68",
"Haynes, Joey","8","0","1","0","12.5","-8","20","1","3","5","15","-8","541","37","108","6.84","19.96","-229.4","13","17","274","20","57","7.3","20.8","-73.16","26","8","16","30.77","30.77","-1.48","384","33","90","8.59","8.59","-94.73",
"Heard, Tyler","2","0","0","0","0","-2","8","0","0","0","0","-8","315","23","77","7.3","24.44","-100.28","27","18","211","19","62","9","29.38","-24.28","18","7","12","38.89","38.89","4.14","235","15","51","6.38","6.38","-112.16",
"Heffernan, J A","0","0","0","0","0","0","13","1","3","7.69","23.08","-3.5","1078","109","301","10.11","27.92","-209.5","13","9","498","47","134","9.44","26.91","-101.11","106","42","80","39.62","39.62","8.14","518","28","114","5.41","5.41","-200.16",
"Hitchcott, Sam","3","0","0","0","0","-3","8","0","0","0","0","-8","159","8","32","5.03","20.13","-108.12","82","41","75","3","12","4","16","-52.87","6","2","4","33.33","33.33","-0.12","94","4","18","4.26","4.26","-65.75",
"Hogan, D E","8","1","1","12.5","12.5","7","20","1","2","5","10","-5","811","81","241","9.99","29.72","3.24","4","4","462","49","137","10.61","29.65","-2.81","64","19","38","29.69","29.69","-3.83","569","64","182","11.25","11.25","11.3",
"Horgan, C","2","0","0","0","0","-2","7","1","1","14.29","14.29","-0.5","321","13","41","4.05","12.77","-112.42","14","7","170","7","19","4.12","11.18","-12.17","12","2","7","16.67","16.67","-4.75","238","11","33","4.62","4.62","-99.17",
"Horgan, H J","4","0","2","0","50","-4","7","0","2","0","28.57","-7","212","27","56","12.74","26.42","147.66","34","16","115","15","36","13.04","31.3","129.61","26","10","16","38.46","38.46","4.16","142","12","36","8.45","8.45","129.75",
"Hornby, Rob","18","0","3","0","16.67","-18","31","1","5","3.23","16.13","-14","1304","122","344","9.36","26.38","-340.59","13","27","644","55","161","8.54","25","-240.41","134","31","79","23.13","23.13","-47.96","790","74","209","9.37","9.37","-161.81",
"Jakes, Tommie","3","0","1","0","33.33","-3","8","1","3","12.5","37.5","-5.25","265","32","73","12.08","27.55","39.32","10","5","223","29","65","13","29.15","43.82","33","7","18","21.21","21.21","-10.56","232","29","67","12.5","12.5","9.44",
"James, S H","17","3","7","17.65","41.18","-1.8","31","4","11","12.9","35.48","-12.55","1186","123","325","10.37","27.4","-294.32","1","1","539","51","144","9.46","26.72","-112.18","111","32","53","28.83","28.83","-19.23","824","80","228","9.71","9.71","-182.12",
"Jary, Alex","4","2","2","50","50","3.7","11","3","4","27.27","36.36","7.7","354","26","79","7.34","22.32","-146.97","3","2","214","16","43","7.48","20.09","-78.55","20","4","10","20","20","-8.05","303","23","70","7.59","7.59","-111.5",
"Jones, Ethan","5","0","1","0","20","-5","12","1","3","8.33","25","-2","210","22","67","10.48","31.9","-88.85","11","8","193","21","62","10.88","32.12","-80.35","21","8","15","38.1","38.1","0.49","185","19","60","10.27","10.27","-75.05",
"Joyce, Wesley","12","2","2","16.67","16.67","13","27","2","5","7.41","18.52","-2","370","33","89","8.92","24.05","-92.04","4","4","353","33","83","9.35","23.51","-75.04","27","9","17","33.33","33.33","4.46","280","30","77","10.71","10.71","-64.54",
"Kavanagh, Ryan","4","1","1","25","25","-2.56","8","2","3","25","37.5","6.44","70","5","14","7.14","20","-39.73","6","2","51","4","11","7.84","21.57","-26.23","3","1","2","33.33","33.33","-1.56","63","5","14","7.94","7.94","-32.73",
"Keeley, Aidan","5","1","2","20","40","2.5","10","4","5","40","50","13","643","67","186","10.42","28.93","-139.69","6","4","297","38","94","12.79","31.65","-85.23","45","18","29","40","40","4.15","544","58","165","10.66","10.66","-125.63",
"Keenan, Darragh","9","2","2","22.22","22.22","2.5","25","3","5","12","20","-10.62","878","64","178","7.29","20.27","-237.86","3","3","409","33","94","8.07","22.98","-180.03","45","17","25","37.78","37.78","3.43","583","48","136","8.23","8.23","-95.45",
"Keniry, L P","10","2","2","20","20","6.75","15","2","2","13.33","13.33","1.75","566","38","104","6.71","18.37","-138.66","5","4","338","23","63","6.8","18.64","-160.26","18","6","8","33.33","33.33","-5.24","386","27","81","6.99","6.99","-99.67",
"Kennedy, K G","9","1","3","11.11","33.33","-6","20","2","6","10","30","-15.43","198","25","60","12.63","30.3","-3.86","6","6","198","25","60","12.63","30.3","-3.86","32","10","17","31.25","31.25","3.31","178","23","54","12.92","12.92","10.24",
"Kent, Mr Lewis","0","0","0","0","0","0","0","0","0","0","0","0","19","1","3","5.26","15.79","-11.5","93","7","12","1","3","8.33","25","-4.5","0","0","0","0","0","0","19","1","3","5.26","5.26","-11.5",
"Kingscote, Richard","12","0","4","0","33.33","-12","35","0","13","0","37.14","-35","1239","140","423","11.3","34.14","-444.45","17","41","606","60","198","9.9","32.67","-253.43","204","61","123","29.9","29.9","-44.48","745","82","247","11.01","11.01","-250.36",
"Kirrane, Sean","12","1","5","8.33","41.67","-2","23","1","6","4.35","26.09","-13","587","62","165","10.56","28.11","-29.26","4","7","309","31","85","10.03","27.51","-12.62","43","10","20","23.26","23.26","-7.51","488","58","151","11.89","11.89","30.54",
"Larson, Frederick","6","0","1","0","16.67","-6","12","0","2","0","16.67","-12","459","43","131","9.37","28.54","-169.79","118","36","169","14","48","8.28","28.4","-63.53","54","11","31","20.37","20.37","-27.58","374","35","108","9.36","9.36","-128.44",
"Leavy, Mr Joe","18","3","7","16.67","38.89","-6.37","35","7","17","20","48.57","14.63","410","46","141","11.22","34.39","-9.08","1","1","333","41","119","12.31","35.74","-27.08","36","10","21","27.78","27.78","-3.24","355","37","124","10.42","10.42","-23.54",
"Lee, Clifford","8","2","3","25","37.5","1.5","29","4","11","13.79","37.93","-8.5","1328","175","445","13.18","33.51","-343.19","5","3","682","88","226","12.9","33.14","-202.45","198","67","117","33.84","33.84","-14.22","812","99","236","12.19","12.19","-154.12",
"Lee, W J","18","3","9","16.67","50","-4.87","35","8","15","22.86","42.86","2.01","1309","175","465","13.37","35.52","-298.21","4","8","587","96","215","16.35","36.63","-11.38","252","82","155","32.54","32.54","-10.51","615","63","201","10.24","10.24","-200.04",
"Levey, S M","15","1","5","6.67","33.33","-9","24","3","10","12.5","41.67","-8.47","937","96","295","10.25","31.48","-151.01","2","1","434","42","133","9.68","30.65","-55.89","85","20","47","23.53","23.53","-24.96","503","49","168","9.74","9.74","-106.01",
"Lordan, W M","17","0","4","0","23.53","-17","35","3","11","8.57","31.43","-17.5","602","66","183","10.96","30.4","-210.59","12","24","243","32","75","13.17","30.86","-102.64","80","30","57","37.5","37.5","-1.5","252","17","64","6.75","6.75","-110.99",
"Loughnane, Mr Billy","31","2","7","6.45","22.58","0","58","11","21","18.97","36.21","55.5","1753","247","600","14.09","34.23","-206.4","5","21","1185","156","397","13.16","33.5","-115.03","284","94","162","33.1","33.1","-13.1","1331","186","457","13.97","13.97","-162.24",
"MacRedmond, Cian","6","0","0","0","0","-6","12","0","0","0","0","-12","515","23","86","4.47","16.7","-315.27","15","13","246","11","36","4.47","14.63","-143.5","25","5","14","20","20","-10.52","424","17","73","4.01","4.01","-253.25",
"Mangan, Gina","11","3","3","27.27","27.27","17.5","27","5","8","18.52","29.63","7.5","542","59","145","10.89","26.75","-70.27","1","1","320","38","94","11.88","29.38","-39.11","50","16","32","32","32","4.73","421","51","126","12.11","12.11","-10.27",
"Marquand, Tom","18","4","6","22.22","33.33","4.75","39","8","14","20.51","35.9","1.83","1597","237","557","14.84","34.88","-198.88","1","3","798","119","288","14.91","36.09","-101.96","294","101","172","34.35","34.35","-27.86","934","125","309","13.38","13.38","-127.98",
"Marsh, Finley","19","4","9","21.05","47.37","6","34","8","18","23.53","52.94","12.94","757","96","234","12.68","30.91","33.01","3","2","506","68","163","13.44","32.21","68.26","85","28","50","32.94","32.94","-2.31","560","77","187","13.75","13.75","-45.25",
"Mason, Joanna","20","2","5","10","25","-3","37","4","9","10.81","24.32","-4","970","109","304","11.24","31.34","-145.12","1","1","594","74","194","12.46","32.66","-16.36","104","22","55","21.15","21.15","-33.53","821","95","271","11.57","11.57","-118.44",
"McAteer, L T","7","0","2","0","28.57","-7","11","0","2","0","18.18","-11","612","45","125","7.35","20.42","-229.82","28","23","302","22","61","7.28","20.2","-124.1","43","12","19","27.91","27.91","-4.4","334","29","63","8.68","8.68","-41.05",
"McCullagh, N G","4","0","1","0","25","-4","10","1","3","10","30","9","340","11","48","3.24","14.12","-215.5","14","9","161","5","23","3.11","14.29","-104.5","7","0","2","0","0","-7","181","10","35","5.52","5.52","-62",
"McCullagh, Scott","7","0","2","0","28.57","-7","8","0","2","0","25","-8","306","21","85","6.86","27.78","-146.1","84","49","168","10","47","5.95","27.98","-88.59","15","1","6","6.67","6.67","-12.5","202","15","58","7.43","7.43","-103.09",
"McDonald, P J","18","3","7","16.67","38.89","30.75","32","3","10","9.38","31.25","16.75","952","114","322","11.97","33.82","-132.07","1","2","408","54","149","13.24","36.52","60.05","116","36","68","31.03","31.03","-19.23","637","74","198","11.62","11.62","-59.85",
"McDonogh, D P","8","1","4","12.5","50","3","20","2","7","10","35","4","925","76","248","8.22","26.81","-379.1","7","7","435","35","107","8.05","24.6","-200.27","79","19","47","24.05","24.05","-26.68","435","29","103","6.67","6.67","-202.92",
"McMonagle, Dylan B","26","2","7","7.69","26.92","-19","40","4","12","10","30","-17.9","1184","148","403","12.5","34.04","-304.98","2","6","561","73","196","13.01","34.94","-173.82","219","69","149","31.51","31.51","-29.56","556","61","161","10.97","10.97","-92.5",
"McSweeney, O","9","0","0","0","0","-9","16","3","5","18.75","31.25","28","349","34","89","9.74","25.5","-52.38","8","10","206","21","54","10.19","26.21","-8.37","25","7","15","28","28","4.16","247","24","70","9.72","9.72","-43.34",
"Mitchell, Jack","12","2","4","16.67","33.33","0","25","2","9","8","36","-13","1222","189","482","15.47","39.44","-303.67","3","1","654","101","263","15.44","40.21","-149.01","287","91","176","31.71","31.71","-60.74","793","121","307","15.26","15.26","-106.23",
