horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Marks Bear (IRE)","14:20:00","2022-01-15","Lingfield","All Weather","Handicap","6f ","6","Standard","9","Class 2","50","2","Keeley, Aidan","2.5","Moore, G L","107","86","9","1.5",
"Marks Bear (IRE)","14:05:00","2021-11-26","Lingfield","All Weather","Handicap","6f ","6","Standard","9","Class 4","23","2","Clutterbuck, Rhys","3","Moore, G L","128","85","3","0.75",
"Marks Bear (IRE)","17:15:00","2021-11-03","Kempton","All Weather","Handicap","6f ","6","Standard To Slow","7","Class 3","69","2","Kelly, Shane","10","Moore, G L","121","83","5","0.5",
"Marks Bear (IRE)","17:40:00","2021-08-26","Lingfield","Flat (Turf)","Handicap","6f ","6","Good To Firm","10","Class 3","14","7","Crouch, Hector","4","Moore, G L","129","83","10","6.45",
"Media Guest (FR)","16:35:00","2022-04-01","Southwell","All Weather","Handicap","5f ","5","Standard","9","Class 4","22","6","Queally, T P","4","Margarson, G G","127","79","1","6.1",
"Media Guest (FR)","16:39:00","2022-03-10","Southwell","All Weather","Handicap","5f ","5","Standard To Slow","8","Class 3","25","2","Morris, Luke","7.5","Margarson, G G","123","79","4","0.75",
"Media Guest (FR)","14:50:00","2022-02-13","Southwell","All Weather","Handicap","5f ","5","Standard To Slow","9","Class 4","135","5","Morris, Luke","7","Margarson, G G","134","81","2","4.25",
"Media Guest (FR)","15:40:00","2021-10-01","Ascot","Flat (Turf)","Handicap","6f ","6","Good To Soft","9","Class 2","16","7","Elliott, Jane","6.5","Margarson, G G","117","81","2","4.3",
"Media Guest (FR)","16:20:00","2021-09-15","Yarmouth","Flat (Turf)","Handicap","6f ","6","Good To Soft","5","Class 4","17","1","Elliott, Jane","4","Margarson, G G","123","74","1",,
"Nelson Gay (IRE)","13:50:00","2022-04-19","Epsom","Flat (Turf)","Handicap","5f ","5","Good To Firm","12","Class 3","179","4","Sayette, B D L","4","Hughes, Richard","126","89","12","1.7",
"Nelson Gay (IRE)","17:00:00","2021-10-22","Newbury","Flat (Turf)","Handicap","6f ","6","Heavy","13","Class 3","9","9","Rooke, George","14","Hughes, Richard","132","90","12","9.78",
"Nelson Gay (IRE)","18:00:00","2021-10-13","Kempton","All Weather","Handicap","6f ","6","Standard To Slow","10","Class 3","11","4","Moore, Ryan","5.5","Hughes, Richard","135","90","9","3.3",
"Nelson Gay (IRE)","19:00:00","2021-10-02","Wolverhampton","All Weather","Handicap","6f ","6","Standard","7","Class 3","24","1","Rooke, George","0.8","Hughes, Richard","122","84","5",,
