Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Quinlan, Sean","20","5","10","25","50","6.83","1184","152","385","12.84","32.52","-264.39","1","1","558","70","186","12.54","33.33","-116.23","165","53","104","32.12","32.12","-25.52","849","117","281","13.78","13.78","-91.71",
"Reed, Harry","5","1","3","20","60","0.5","442","29","94","6.56","21.27","-259.62","4","1","212","10","36","4.72","16.98","-158.83","23","4","9","17.39","17.39","-13.45","308","24","68","7.79","7.79","-141.79",
"Roche, L F","19","0","3","0","15.79","-19","695","46","154","6.62","22.16","-142.67","16","24","300","16","54","5.33","18","-53.04","40","11","23","27.5","27.5","2.08","387","20","83","5.17","5.17","-74.17",
"Rodriguez, Callum","24","4","8","16.67","33.33","-6.72","873","120","284","13.75","32.53","-126.11","2","5","366","53","125","14.48","34.15","-79.85","138","40","81","28.99","28.99","-21.09","667","94","227","14.09","14.09","-69.8",
"Rooke, George","15","0","3","0","20","-15","822","71","205","8.64","24.94","-313.18","23","25","351","32","86","9.12","24.5","-130.31","69","22","46","31.88","31.88","-0.88","619","56","166","9.05","9.05","-230",
"Ryan, Gavin","20","3","5","15","25","15","824","60","187","7.28","22.69","-171.16","2","1","385","28","78","7.27","20.26","-68.92","57","13","26","22.81","22.81","-18.99","418","28","84","6.7","6.7","-61.17",
"Ryan, Mr A P","4","0","2","0","50","-4","113","7","27","6.19","23.89","-12.51","20","7","85","7","21","8.24","24.71","15.49","4","2","2","50","50","1.16","23","1","2","4.35","4.35","-15",
"Ryan, Rossa","47","9","16","19.15","34.04","4.24","1644","251","594","15.27","36.13","-173.61","1","2","895","144","334","16.09","37.32","-28.65","285","112","183","39.3","39.3","31.23","1048","162","374","15.46","15.46","-123.83",
"Sanderson, Benjamin","6","1","1","16.67","16.67","-2.75","205","14","42","6.83","20.49","-89.01","1","1","115","9","22","7.83","19.13","-66.51","20","4","10","20","20","-7.84","160","14","39","8.75","8.75","-44.01",
"Sayette, B D L","32","6","8","18.75","25","16.13","494","88","180","17.81","36.44","13.9","1","1","413","72","145","17.43","35.11","5.49","92","39","59","42.39","42.39","5.86","361","63","129","17.45","17.45","6.26",
"Scott, Rowan","27","2","9","7.41","33.33","-9.5","889","75","207","8.44","23.28","-241.68","7","15","418","32","106","7.66","25.36","-182.92","59","17","27","28.81","28.81","-3.26","639","57","156","8.92","8.92","-129.96",
"Searle, Oliver","3","0","0","0","0","-3","60","4","17","6.67","28.33","-38.62","124","24","57","4","16","7.02","28.07","-35.62","4","1","2","25","25","-1.12","47","4","14","8.51","8.51","-25.62",
"Shaw, Harrison","19","1","2","5.26","10.53","-16.25","737","59","162","8.01","21.98","-188","5","6","391","35","95","8.95","24.3","-110.21","46","12","23","26.09","26.09","-3.96","552","47","129","8.51","8.51","-130.84",
"Sheehan, Gavin","16","3","4","18.75","25","1.25","816","147","320","18.01","39.22","-6.8","4","1","440","84","176","19.09","40","0.32","155","57","99","36.77","36.77","-8.47","469","85","166","18.12","18.12","53.14",
"Sheehy, M P","9","1","3","11.11","33.33","12","674","74","184","10.98","27.3","16.55","12","9","292","27","77","9.25","26.37","-11.29","75","22","43","29.33","29.33","-5.7","440","48","111","10.91","10.91","57.09",
"Shoemark, Kieran","11","1","3","9.09","27.27","-1.5","963","111","279","11.53","28.97","-135.87","2","1","377","43","104","11.41","27.59","-88.69","103","37","57","35.92","35.92","4.51","582","60","162","10.31","10.31","-33.85",
"Slattery, A J","23","1","4","4.35","17.39","-17","682","51","158","7.48","23.17","-140.33","6","14","327","28","69","8.56","21.1","-48.74","24","9","17","37.5","37.5","5.34","390","35","94","8.97","8.97","76.58",
"Smith, Jefferson","13","1","4","7.69","30.77","-9","124","12","28","9.68","22.58","-41.11","14","13","65","8","17","12.31","26.15","4","4","3","4","75","75","4.14","70","8","15","11.43","11.43","-6",
"Stone-Walsh, C","10","2","3","20","30","-0.75","71","10","21","14.08","29.58","-11.29","2","4","69","10","21","14.49","30.43","-9.29","7","4","4","57.14","57.14","6.88","51","8","16","15.69","15.69","1.5",
"Stott, Kevin","41","5","20","12.2","48.78","-5.38","1385","220","538","15.88","38.84","-253.3","1","2","935","152","366","16.26","39.14","-175.59","270","97","175","35.93","35.93","1.16","926","143","337","15.44","15.44","-113.78",
"Strydom, Kyle","3","0","0","0","0","-3","12","2","2","16.67","16.67","-4.12","43","9","12","2","2","16.67","16.67","-4.12","2","1","1","50","50","0.38","8","1","1","12.5","12.5","-2.5",
"Sullivan, James P","32","2","9","6.25","28.13","-18","1004","54","205","5.38","20.42","-339.5","4","7","440","36","115","8.18","26.14","-58.46","34","10","20","29.41","29.41","4.25","821","46","171","5.6","5.6","-254.33",
"Swan, H C","6","0","1","0","16.67","-6","241","25","94","10.37","39","-70.89","19","8","152","16","61","10.53","40.13","-88.43","32","9","21","28.13","28.13","-8.38","46","1","13","2.17","2.17","-41.5",
"Tabti, M","0","0","0","0","0","0","124","15","48","12.1","38.71","-7.42","19","3","82","9","30","10.98","36.59","-0.25","15","6","10","40","40","4.25","100","11","38","11","11","-13.67",
"Tart, Robert","1","1","1","100","100","3.5","156","19","51","12.18","32.69","-15.49","14","1","24","3","9","12.5","37.5","-10.87","18","5","12","27.78","27.78","0.51","98","16","41","16.33","16.33","33",
"Todd, C J","8","1","2","12.5","25","1","370","31","86","8.38","23.24","-151.22","5","4","189","8","31","4.23","16.4","-110.56","45","11","25","24.44","24.44","-12.56","249","24","65","9.64","9.64","-102.83",
"Tubb, Olivia","3","0","1","0","33.33","-3","24","4","9","16.67","37.5","30","19","5","22","4","9","18.18","40.91","32","2","0","1","0","0","-2","23","4","9","17.39","17.39","31",
"Tudhope, Daniel","27","3","12","11.11","44.44","-6","1251","186","453","14.87","36.21","-170.54","2","4","599","79","197","13.19","32.89","-70.41","254","70","137","27.56","27.56","-60.91","786","108","269","13.74","13.74","-168.96",
"Tudor, Jack","12","3","4","25","33.33","1.23","493","50","127","10.14","25.76","-75.42","1","1","239","23","57","9.62","23.85","-18.14","66","16","37","24.24","24.24","-21.13","343","42","104","12.24","12.24","-25.78",
"Turner, Hayley","24","3","8","12.5","33.33","-11.62","799","89","233","11.14","29.16","-161.1","6","5","374","32","109","8.56","29.14","-151.96","74","28","42","37.84","37.84","8.2","561","58","163","10.34","10.34","-151.81",
"Twiston-Davies, Sam","21","2","7","9.52","33.33","-11.25","1360","184","456","13.53","33.53","-362.03","4","7","631","78","200","12.36","31.7","-202.53","232","69","127","29.74","29.74","-51.3","872","119","282","13.65","13.65","-149.01",
"Voikhansky, Alexander","13","1","3","7.69","23.08","8","228","25","68","10.96","29.82","-22.24","9","7","197","24","64","12.18","32.49","0.26","22","6","13","27.27","27.27","-5.24","200","22","63","11","11","-31.74",
"Watson, Jason","29","1","7","3.45","24.14","-23","1268","147","399","11.59","31.47","-165.27","12","24","573","49","158","8.55","27.57","-242.14","163","43","96","26.38","26.38","-45.75","922","116","297","12.58","12.58","-103.06",
"Wheatley, Zak","7","1","2","14.29","28.57","-3.75","276","27","62","9.78","22.46","55.75","4","2","143","14","30","9.79","20.98","-28.25","18","5","6","27.78","27.78","-2.25","224","25","58","11.16","11.16","91.75",
"Whelan, Trevor","22","7","11","31.82","50","17.96","926","80","211","8.64","22.79","-331.67","2","4","406","31","87","7.64","21.43","-153.08","53","14","28","26.42","26.42","-7.8","628","62","162","9.87","9.87","-158.93",
"Whittington, Elisha","13","0","1","0","7.69","-13","255","6","35","2.35","13.73","-169.75","30","20","115","4","18","3.48","15.65","-73.5","6","1","2","16.67","16.67","-3.25","208","6","32","2.88","2.88","-122.75",
"Winn, Mark","19","4","5","21.05","26.32","0.86","306","46","107","15.03","34.97","22.12","1","2","249","39","91","15.66","36.55","34.04","37","12","25","32.43","32.43","2.46","277","44","100","15.88","15.88","41.29",
"Wonnacott, Millie","6","1","1","16.67","16.67","11","16","1","1","6.25","6.25","1","2","2","16","1","1","6.25","6.25","1","0","0","0","0","0","0","11","1","1","9.09","9.09","6",
"Wright, Liam","4","0","0","0","0","-4","104","9","27","8.65","25.96","-37.05","20","7","89","7","20","7.87","22.47","-32.05","8","2","4","25","25","-2.05","85","8","25","9.41","9.41","-21.55",
 
